PolymerEnvironmentID,PolymerID,Category,Agent,Conditions,Verdict,Finding,SourceID,Locator,Notes
PB00073,HIPS,uv-outdoor,"UV / outdoor weathering, unstabilised",Prolonged outdoor use,not-resistant,"Outdoors, the UV rays in direct sunlight are primarily responsible for damage. This aging shows up both as a gradual change in appearance, i.e. yellowing and loss of surface gloss, and also as a decrease in the mechanical strength. Dark colors have better resistance than a pale or transparent product. For the above reasons, Polystyrene is not recommended for articles which are used outdoors for a prolonged period.",R-BASF-POLYSTYRENE-STYROLUX,p. 13 Aging behavior,"The brochure covers general-purpose and high-impact polystyrene together as ""Polystyrene""; the statement is class-level. BASF was the producer at publication (2010); the resins are now INEOS Styrolution."
PB00074,PC,acid,"Sulfuric acid, 10% in water","Makrolon 2800 test pieces, 6 days at 23 °C (first symbol) and 50 °C (second symbol); outer fibre strain method",resistant,"+ at 23 °C, + at 50 °C",R-COVESTRO-MAKROLON-CHEM,p. 4 Resistance to chemicals table,"Key: + resistant, - non resistant; ""swells"", ""dissolves"", ""reacts"" are the reference's own words and are recorded as not-resistant. p. 1 adds: acid catalysis of hydrolysis is only weak."
PB00075,PC,acid,"Hydrochloric acid, 10% in water","Makrolon 2800 test pieces, 6 days at 23 °C (first symbol) and 50 °C (second symbol); outer fibre strain method",resistant,"+ at 23 °C, + at 50 °C",R-COVESTRO-MAKROLON-CHEM,p. 3 Resistance to chemicals table,"Key: + resistant, - non resistant; ""swells"", ""dissolves"", ""reacts"" are the reference's own words and are recorded as not-resistant."
PB00076,PC,acid,"Nitric acid, 10% in water","Makrolon 2800 test pieces, 6 days at 23 °C (first symbol) and 50 °C (second symbol); outer fibre strain method",resistant,+ at 23 °C (50 °C not rated),R-COVESTRO-MAKROLON-CHEM,p. 3 Resistance to chemicals table,"Key: + resistant, - non resistant; ""swells"", ""dissolves"", ""reacts"" are the reference's own words and are recorded as not-resistant. p. 2: Makrolon displays remarkably high stability vis-à-vis 10 % nitric acid and hydrogen peroxide."
PB00077,PC,acid,"Acetic acid, 10% in water","Makrolon 2800 test pieces, 6 days at 23 °C (first symbol) and 50 °C (second symbol); outer fibre strain method",resistant,"+ at 23 °C, + at 50 °C",R-COVESTRO-MAKROLON-CHEM,p. 3 Resistance to chemicals table,"Key: + resistant, - non resistant; ""swells"", ""dissolves"", ""reacts"" are the reference's own words and are recorded as not-resistant."
PB00078,PC,alkali,"Sodium hydroxide (caustic soda), 1% in water","Makrolon 2800 test pieces, 6 days at 23 °C (first symbol) and 50 °C (second symbol); outer fibre strain method",not-resistant,- (non resistant),R-COVESTRO-MAKROLON-CHEM,p. 4 Resistance to chemicals table,"Key: + resistant, - non resistant; ""swells"", ""dissolves"", ""reacts"" are the reference's own words and are recorded as not-resistant. p. 1: alkalis act as pronounced catalysts during hydrolysis. p. 2: low-stress mouldings withstand frequent cleaning with a 2 % aqueous sodium hydroxide solution at 80 °C if residence time is kept short."
PB00079,PC,alkali,"Potassium hydroxide, 1% in water","Makrolon 2800 test pieces, 6 days at 23 °C (first symbol) and 50 °C (second symbol); outer fibre strain method",not-resistant,- (non resistant),R-COVESTRO-MAKROLON-CHEM,p. 3 Resistance to chemicals table,"Key: + resistant, - non resistant; ""swells"", ""dissolves"", ""reacts"" are the reference's own words and are recorded as not-resistant."
PB00080,PC,alkali,"Ammonia, 0.1% in water","Makrolon 2800 test pieces, 6 days at 23 °C (first symbol) and 50 °C (second symbol); outer fibre strain method",not-resistant,- (non resistant),R-COVESTRO-MAKROLON-CHEM,p. 3 Resistance to chemicals table,"Key: + resistant, - non resistant; ""swells"", ""dissolves"", ""reacts"" are the reference's own words and are recorded as not-resistant. p. 1: ammonia and low-molecular aliphatic primary and secondary amines are particularly aggressive in the presence of traces of water."
PB00081,PC,alkali,"Sodium carbonate (soda), 10% in water","Makrolon 2800 test pieces, 6 days at 23 °C (first symbol) and 50 °C (second symbol); outer fibre strain method",limited,"+ at 23 °C, - at 70 °C",R-COVESTRO-MAKROLON-CHEM,p. 4 Resistance to chemicals table,"Key: + resistant, - non resistant; ""swells"", ""dissolves"", ""reacts"" are the reference's own words and are recorded as not-resistant."
PB00082,PC,organic-solvent,Acetone,"Makrolon 2800 test pieces, 6 days at 23 °C (first symbol) and 50 °C (second symbol); outer fibre strain method",not-resistant,swells,R-COVESTRO-MAKROLON-CHEM,p. 3 Resistance to chemicals table,"Key: + resistant, - non resistant; ""swells"", ""dissolves"", ""reacts"" are the reference's own words and are recorded as not-resistant."
PB00083,PC,organic-solvent,Ethanol (pure),"Makrolon 2800 test pieces, 6 days at 23 °C (first symbol) and 50 °C (second symbol); outer fibre strain method",resistant,"+ at 23 °C, + at 50 °C",R-COVESTRO-MAKROLON-CHEM,p. 3 Resistance to chemicals table,"Key: + resistant, - non resistant; ""swells"", ""dissolves"", ""reacts"" are the reference's own words and are recorded as not-resistant."
PB00084,PC,organic-solvent,Methanol,"Makrolon 2800 test pieces, 6 days at 23 °C (first symbol) and 50 °C (second symbol); outer fibre strain method",not-resistant,- (non resistant),R-COVESTRO-MAKROLON-CHEM,p. 3 Resistance to chemicals table,"Key: + resistant, - non resistant; ""swells"", ""dissolves"", ""reacts"" are the reference's own words and are recorded as not-resistant."
PB00085,PC,organic-solvent,"Xylene (aromatic hydrocarbon; benzene rated the same, toluene not listed)","Makrolon 2800 test pieces, 6 days at 23 °C (first symbol) and 50 °C (second symbol); outer fibre strain method",not-resistant,"swells (benzene: swells; methylene chloride, chloroform, dioxane, dimethyl formamide: dissolves)",R-COVESTRO-MAKROLON-CHEM,p. 3-4 Resistance to chemicals table,"Key: + resistant, - non resistant; ""swells"", ""dissolves"", ""reacts"" are the reference's own words and are recorded as not-resistant."
PB00086,PC,oil-grease,"Industrial oils, greases and waxes",6 days at 23 °C (some also 6 days at 60 °C),resistant,"Makrolon is resistant to most of the industrial oils, greases and waxes tested in our laboratory over 6 days at 23 °C. A series of the products tested did not produce any inadmissible changes in test pieces made of Makrolon 2800 after 6 days at 60 °C either. Resistance is only assured if the technical products are free of low-molecular, aromatic and polar components and of other components that trigger stress corrosion cracking.",R-COVESTRO-MAKROLON-CHEM,"p. 2 Resistance to oils, greases, waxes and fuels",Not applicable
PB00087,PC,oil-grease,"Paraffin, paraffin oil, pure/free from aromatic hydrocarbons","Makrolon 2800 test pieces, 6 days at 23 °C (first symbol) and 50 °C (second symbol); outer fibre strain method",resistant,"+ at 23 °C, + at 50 °C",R-COVESTRO-MAKROLON-CHEM,p. 3 Resistance to chemicals table,"Key: + resistant, - non resistant; ""swells"", ""dissolves"", ""reacts"" are the reference's own words and are recorded as not-resistant."
PB00088,PC,oil-grease,Benzine (free from aromatic hydrocarbons),"Makrolon 2800 test pieces, 6 days at 23 °C (first symbol) and 50 °C (second symbol); outer fibre strain method",resistant,"+ at 23 °C, + at 50 °C",R-COVESTRO-MAKROLON-CHEM,p. 3 Resistance to chemicals table,"Key: + resistant, - non resistant; ""swells"", ""dissolves"", ""reacts"" are the reference's own words and are recorded as not-resistant."
PB00089,PC,oil-grease,Carburetor (gasoline) and diesel fuels,Not stated,not-resistant,"Makrolon is not resistant to the standard carburetor and diesel fuels. The low-molecular, aromatic hydrocarbons that are present in carburetor fuel, in particular, cause cracking in parts that are subject to stress.",R-COVESTRO-MAKROLON-CHEM,"p. 2 Resistance to oils, greases, waxes and fuels",Not applicable
PB00090,PC,hydrolysis,Water at high temperature,Not stated,limited,"As an ester of bisphenol A and carbonic acid, polycarbonate will gradually be split into these components again by water at a high temperature, for instance. Alkalis act as pronounced catalysts during hydrolysis. Acid catalysis is only weak.",R-COVESTRO-MAKROLON-CHEM,p. 1 Molecular degradation,"No temperature or time limit is stated; the verdict records gradual degradation, not a service limit."
PB00091,TPU,acid,Concentrated acids,Room temperature,not-resistant,Elastollan products are attacked by concentrated acids and alkaline solutions even at room temperature. Any contact with these substances should be avoided.,R-BASF-ELASTOLLAN-CHEM,PDF p. 2 Acids and alkaline solutions,Not applicable
PB00092,TPU,acid,Dilute acids,Short-time contact at room temperature,limited,Elastollan is resistant to short-time contact with dilute acids and alkali solutions at room temperature.,R-BASF-ELASTOLLAN-CHEM,PDF p. 2 Acids and alkaline solutions,Not applicable
PB00093,TPU,acid,3 % Hydrochloric acid (strong mineral acids; 3 % sulphuric acid will be similar),"Reagents at 60 °C (criterion: residual tensile strength 20 MPa), solvents at 23 °C for 3 weeks; standard 5A test pieces",limited,"Standard ester: Days at 23 °C, Hours at 60 °C; C 85 A: Days, Hours; ether grades: Years at 23 °C, Months at 60 °C. The action of 3 % sulphuric acid will be similar.",R-BASF-ELASTOLLAN-CHEM,"PDF p. 5 table, code 4 Strong Mineral Acids","Columns: Elastollan standard ester grades (e.g. 500, 800), Elastollan C 85 A, Elastollan ether grades (e.g. 1100); each at 23 °C and 60 °C, resistance expressed as hours, days, weeks, months or years. Harder products swell less and resist better. A filament's base (ester or ether) is usually not published."
PB00094,TPU,acid,3 % Nitric acid (oxidizing mineral acids),"Reagents at 60 °C (criterion: residual tensile strength 20 MPa), solvents at 23 °C for 3 weeks; standard 5A test pieces",not-resistant,Days at 23 °C and Hours at 60 °C for all three grade families,R-BASF-ELASTOLLAN-CHEM,"PDF p. 5 table, code 6 Oxidizing Mineral Acids","Columns: Elastollan standard ester grades (e.g. 500, 800), Elastollan C 85 A, Elastollan ether grades (e.g. 1100); each at 23 °C and 60 °C, resistance expressed as hours, days, weeks, months or years. Harder products swell less and resist better. A filament's base (ester or ether) is usually not published."
PB00095,TPU,alkali,Concentrated alkaline solutions,Room temperature,not-resistant,Elastollan products are attacked by concentrated acids and alkaline solutions even at room temperature. Any contact with these substances should be avoided.,R-BASF-ELASTOLLAN-CHEM,PDF p. 2 Acids and alkaline solutions,Not applicable
PB00096,TPU,alkali,3 % Soda lye (caustic soda),"Reagents at 60 °C (criterion: residual tensile strength 20 MPa), solvents at 23 °C for 3 weeks; standard 5A test pieces",limited,"Standard ester: Weeks at 23 °C, Days at 60 °C; C 85 A: Months, Weeks; ether grades: Years, Months",R-BASF-ELASTOLLAN-CHEM,"PDF p. 5 table, code 9 Alkaline Solutions","Columns: Elastollan standard ester grades (e.g. 500, 800), Elastollan C 85 A, Elastollan ether grades (e.g. 1100); each at 23 °C and 60 °C, resistance expressed as hours, days, weeks, months or years. Harder products swell less and resist better. A filament's base (ester or ether) is usually not published."
PB00097,TPU,alkali,3 % Ammonium solution,"Reagents at 60 °C (criterion: residual tensile strength 20 MPa), solvents at 23 °C for 3 weeks; standard 5A test pieces",limited,"Standard ester: Days at 23 °C, Hours at 60 °C; C 85 A: Weeks, Days; ether grades: Years, Months",R-BASF-ELASTOLLAN-CHEM,"PDF p. 5 table, code 10 Basic Solutions","Columns: Elastollan standard ester grades (e.g. 500, 800), Elastollan C 85 A, Elastollan ether grades (e.g. 1100); each at 23 °C and 60 °C, resistance expressed as hours, days, weeks, months or years. Harder products swell less and resist better. A filament's base (ester or ether) is usually not published."
PB00098,TPU,organic-solvent,"Ketones (acetone, methyl ethyl ketone, cyclohexanone)",3 weeks immersion at 23 °C,not-resistant,"Ketones such as acetone, methylethylketone (MEK) and cyclohexanone are partial solvents for thermoplastic polyurethane elastomers. Elastollan products are unsuitable for long-term use in these solvents. Methyl ethyl ketone: volume swelling 105 % / 110 % / 130 %, reduction of tensile strength 80 % / 80 % / 90 % (ester / C 85 A / ether); other short-chained aliphatic ketones such as acetone have a similar effect.",R-BASF-ELASTOLLAN-CHEM,PDF p. 2 Solvents; PDF p. 7 table 16.4,"Columns: Elastollan standard ester grades (e.g. 500, 800), Elastollan C 85 A, Elastollan ether grades (e.g. 1100); each at 23 °C and 60 °C, resistance expressed as hours, days, weeks, months or years. Harder products swell less and resist better. A filament's base (ester or ether) is usually not published."
PB00099,TPU,organic-solvent,Ethanol (aliphatic alcohols),3 weeks immersion at 23 °C,limited,"Aliphatic alcohols, such as ethanol and isopropanol, cause swelling of Elastollan products. This is combined with a loss of tensile strength. Ethanol: volume swelling 16 % / 18 % / 33 %, reduction of tensile strength 52 % / 52 % / 64 % (ester / C 85 A / ether); after evaporation of the solvents the tensile strength recovers approximately its original value.",R-BASF-ELASTOLLAN-CHEM,PDF p. 2 Solvents; PDF p. 8 table 17,"Columns: Elastollan standard ester grades (e.g. 500, 800), Elastollan C 85 A, Elastollan ether grades (e.g. 1100); each at 23 °C and 60 °C, resistance expressed as hours, days, weeks, months or years. Harder products swell less and resist better. A filament's base (ester or ether) is usually not published."
PB00100,TPU,organic-solvent,Toluene (aromatic hydrocarbons),3 weeks immersion at 23 °C,not-resistant,"Contact of Elastollan with aromatic hydrocarbons such as benzene and toluene results in considerable swelling even at room temperature. Absorption can result in a 50 % weight increase with a corresponding reduction in mechanical properties. Toluene: volume swelling 52 % / 60 % / 65 %, reduction of tensile strength 55 % / 45 % / 50 %.",R-BASF-ELASTOLLAN-CHEM,PDF p. 2 Aromatic hydrocarbons; PDF p. 7 table 16.2,"Columns: Elastollan standard ester grades (e.g. 500, 800), Elastollan C 85 A, Elastollan ether grades (e.g. 1100); each at 23 °C and 60 °C, resistance expressed as hours, days, weeks, months or years. Harder products swell less and resist better. A filament's base (ester or ether) is usually not published."
PB00101,TPU,organic-solvent,"Tetrahydrofuran, dimethylformamide, dimethyl acetamide, N-methyl pyrrolidone, dimethyl sulphoxide, pyridine",3 weeks immersion at 23 °C,not-resistant,"Highly polar organic solvents such as DMF, DMSO, N-methylpyrrolidine and THF dissolve thermoplastic polyurethane; table 16.8 ""Agents dissolving TPU"": dissolved for all grade families.",R-BASF-ELASTOLLAN-CHEM,PDF p. 2 Solvents; PDF p. 7 table 16.8,"Columns: Elastollan standard ester grades (e.g. 500, 800), Elastollan C 85 A, Elastollan ether grades (e.g. 1100); each at 23 °C and 60 °C, resistance expressed as hours, days, weeks, months or years. Harder products swell less and resist better. A filament's base (ester or ether) is usually not published."
PB00102,TPU,oil-grease,"Lubricating oils and greases (IRM 901, 902, 903 test oils)",Immersion at room temperature; 3 weeks at 100 °C,resistant,"No reduction in strength occurs after immersion in test oils IRM 901, IRM 902, and IRM 903 at room temperature. There is also no reduction in tensile strength after 3 weeks immersion at 100 °C. Elastollan is in principal resistant to lubricating oils and greases, however irreversible damage can be caused by included additives. Compatibility testing in each individual lubricant is to be recommended.",R-BASF-ELASTOLLAN-CHEM,PDF p. 2 Lubricating oils and greases,Not applicable
PB00103,TPU,oil-grease,"Saturated hydrocarbons (diesel oil, isooctane, petroleum ether, kerosene)",Room temperature,limited,"Contact of Elastollan with saturated hydrocarbons such as diesel oil, isooctane, petroleum ether and kerosene results in a limited swelling. At room temperature, this swelling amounts to approx. 1-3 % and the resultant reduction in tensile strength is no more than 20 %. After evaporation and reversal of the swelling, the original mechanical properties are almost completely restored.",R-BASF-ELASTOLLAN-CHEM,PDF p. 2 Saturated hydrocarbons,Not applicable
PB00104,TPU,oil-grease,"Gasoline (FAM test fluid B, DIN 51604: toluene / iso-octane / di-isobutylene / methanol / ethanol / water)",3 weeks immersion at 23 °C,not-resistant,"Test fluid B: standard ester Days, C 85 A Months (strong swelling), ether grades Years (strong swelling) at 23 °C; volume swelling 38 % / 38 % / 68 %, reduction of tensile strength 72 % / 55 % / 74 %, ""poor resistance"" (ester) and ""limited resistance for sev. weeks"" (ether).",R-BASF-ELASTOLLAN-CHEM,PDF p. 6 table code 13; PDF p. 8 table 17 FAM Test Fluids,"Columns: Elastollan standard ester grades (e.g. 500, 800), Elastollan C 85 A, Elastollan ether grades (e.g. 1100); each at 23 °C and 60 °C, resistance expressed as hours, days, weeks, months or years. Harder products swell less and resist better. A filament's base (ester or ether) is usually not published."
PB00105,TPU,oil-grease,Brake fluid,"Reagents at 60 °C (criterion: residual tensile strength 20 MPa), solvents at 23 °C for 3 weeks; standard 5A test pieces",not-resistant,Hours at 23 °C and 60 °C for all three grade families; brake fluid / many hydraulic oils attack TPU,R-BASF-ELASTOLLAN-CHEM,"PDF p. 6 table, code 15 Miscellaneous","Columns: Elastollan standard ester grades (e.g. 500, 800), Elastollan C 85 A, Elastollan ether grades (e.g. 1100); each at 23 °C and 60 °C, resistance expressed as hours, days, weeks, months or years. Harder products swell less and resist better. A filament's base (ester or ether) is usually not published."
PB00106,TPU,water-solubility,Tap water,"Reagents at 60 °C (criterion: residual tensile strength 20 MPa), solvents at 23 °C for 3 weeks; standard 5A test pieces",resistant,"Standard ester: Years at 23 °C, Months at 60 °C; C 85 A: Years, Months; ether grades: Years, Years",R-BASF-ELASTOLLAN-CHEM,"PDF p. 5 table, code 0 Water","Columns: Elastollan standard ester grades (e.g. 500, 800), Elastollan C 85 A, Elastollan ether grades (e.g. 1100); each at 23 °C and 60 °C, resistance expressed as hours, days, weeks, months or years. Harder products swell less and resist better. A filament's base (ester or ether) is usually not published."
PB00107,TPU,hydrolysis,"Hot water, moisture vapour, tropical climate (polyester-based TPU)",Lengthy exposure,not-resistant,"If polyester based polyurethanes are exposed for lengthy periods to hot water, moisture vapor or tropical climates, an irreversible break-down of the polyester chains occurs through hydrolysis. This results in a reduction in mechanical properties. This effect is more marked in flexible grades. Due to a good stabilization, a degradation of polyester-based Elastollan is rarely experienced at room temperature.",R-BASF-ELASTOLLAN-CHEM,PDF p. 10 Hydrolysis resistance,"Columns: Elastollan standard ester grades (e.g. 500, 800), Elastollan C 85 A, Elastollan ether grades (e.g. 1100); each at 23 °C and 60 °C, resistance expressed as hours, days, weeks, months or years. Harder products swell less and resist better. A filament's base (ester or ether) is usually not published."
PB00108,TPU,hydrolysis,"Hot water, moisture vapour, tropical climate (polyether-based TPU)",Lengthy exposure,resistant,"Because of its chemical structure, polyether-based Elastollan is much more resistant to hydrolytic degradation (Figures 41 and 42 compare Elastollan 1185 A ether grade with C 85 A ester grade between 50 and 100 °C).",R-BASF-ELASTOLLAN-CHEM,PDF p. 10 Hydrolysis resistance,"Columns: Elastollan standard ester grades (e.g. 500, 800), Elastollan C 85 A, Elastollan ether grades (e.g. 1100); each at 23 °C and 60 °C, resistance expressed as hours, days, weeks, months or years. Harder products swell less and resist better. A filament's base (ester or ether) is usually not published."
PB00109,TPU,uv-outdoor,"UV radiation, unstabilised",Not stated,stabilised-required,"Plastics are chemically degraded by the effect of UV radiation. The degree of ageing depends on duration and intensity. In the case of polyurethanes, the effect is seen initially as surface embrittlement. This is accompanied by a yellowing in color and a reduction in mechanical properties. It is possible to improve UV resistance by addition of color pigments which prevent the deep penetration of UV rays... The ageing process can also be delayed by the addition of UV stabilizers.",R-BASF-ELASTOLLAN-CHEM,PDF p. 11 UV radiation,Not applicable
PB00110,PA6,acid,Mineral acids and certain organic acids,Not stated,not-resistant,"Chemical resistance overview: Not resistant – halogens (fluorine, chlorine, bromine, iodine), mineral acids and certain organic acids, oxidants, phenols, zinc chloride solutions. Solvent for the resin: formic acid (> 60 %), fluorinated solvents, m-cresol, phenol, sulfuric acid (96 %).",R-BASF-ULTRAMID-CHEM,p. 3 Chemical resistance overview of Ultramid Nylon,"Key: + resistant (only slight changes to weight, dimensions, properties); ¡ limited resistance (noticeable change in properties, prolonged exposure may cause irreversible damage); - not resistant (attack and/or environmental stress cracking within a short time); S plastic dissolved by the chemical. Number in brackets = mass increase at saturation, unreinforced grades. The guide rates unmodified Ultramid B27E (PA6) and A27E (PA66) together unless a note says otherwise."
PB00111,PA6,acid,"Sulfuric acid, 2 wt%",Room temperature (15-35 °C) unless stated; aqueous solution at the stated wt%,not-resistant,- (not resistant); Sulfuric acid > 80 wt%: S (plastic dissolved),R-BASF-ULTRAMID-CHEM,"p. 16 table, Sulfuric acid","Key: + resistant (only slight changes to weight, dimensions, properties); ¡ limited resistance (noticeable change in properties, prolonged exposure may cause irreversible damage); - not resistant (attack and/or environmental stress cracking within a short time); S plastic dissolved by the chemical. Number in brackets = mass increase at saturation, unreinforced grades. The guide rates unmodified Ultramid B27E (PA6) and A27E (PA66) together unless a note says otherwise."
PB00112,PA6,acid,"Hydrochloric acid, 2 wt%",Room temperature (15-35 °C) unless stated; aqueous solution at the stated wt%,not-resistant,- (not resistant) [17]; Hydrochloric acid > 20 wt%: -,R-BASF-ULTRAMID-CHEM,"p. 11 table, Hydrochloric acid","Key: + resistant (only slight changes to weight, dimensions, properties); ¡ limited resistance (noticeable change in properties, prolonged exposure may cause irreversible damage); - not resistant (attack and/or environmental stress cracking within a short time); S plastic dissolved by the chemical. Number in brackets = mass increase at saturation, unreinforced grades. The guide rates unmodified Ultramid B27E (PA6) and A27E (PA66) together unless a note says otherwise."
PB00113,PA6,acid,"Nitric acid, 2 wt%",Room temperature (15-35 °C) unless stated; aqueous solution at the stated wt%,not-resistant,- (not resistant); Nitric acid > 50 wt%: -,R-BASF-ULTRAMID-CHEM,"p. 13 table, Nitric acid","Key: + resistant (only slight changes to weight, dimensions, properties); ¡ limited resistance (noticeable change in properties, prolonged exposure may cause irreversible damage); - not resistant (attack and/or environmental stress cracking within a short time); S plastic dissolved by the chemical. Number in brackets = mass increase at saturation, unreinforced grades. The guide rates unmodified Ultramid B27E (PA6) and A27E (PA66) together unless a note says otherwise."
PB00114,PA6,alkali,Alkalis,Not stated,resistant,"Chemical resistance overview: Very resistant – aliphatic and aromatic hydrocarbons, alkalis, brake fluids, ethers, esters, greases, ketones, fuels (gasoline, diesel), paints, lubricants, detergent.",R-BASF-ULTRAMID-CHEM,p. 3 Chemical resistance overview of Ultramid Nylon,"Key: + resistant (only slight changes to weight, dimensions, properties); ¡ limited resistance (noticeable change in properties, prolonged exposure may cause irreversible damage); - not resistant (attack and/or environmental stress cracking within a short time); S plastic dissolved by the chemical. Number in brackets = mass increase at saturation, unreinforced grades. The guide rates unmodified Ultramid B27E (PA6) and A27E (PA66) together unless a note says otherwise."
PB00115,PA6,alkali,"Sodium hydroxide soln., 10 wt%",Room temperature (15-35 °C) unless stated; aqueous solution at the stated wt%,resistant,+ at RT; 50 wt%: ¡ at RT; 10 wt% at 80 °C: -,R-BASF-ULTRAMID-CHEM,"p. 15 table, Sodium hydroxide soln.","Key: + resistant (only slight changes to weight, dimensions, properties); ¡ limited resistance (noticeable change in properties, prolonged exposure may cause irreversible damage); - not resistant (attack and/or environmental stress cracking within a short time); S plastic dissolved by the chemical. Number in brackets = mass increase at saturation, unreinforced grades. The guide rates unmodified Ultramid B27E (PA6) and A27E (PA66) together unless a note says otherwise."
PB00116,PA6,organic-solvent,"Aliphatic and aromatic hydrocarbons, ethers, esters, ketones",Not stated,resistant,"Chemical resistance overview: Very resistant – aliphatic and aromatic hydrocarbons, alkalis, brake fluids, ethers, esters, greases, ketones, fuels (gasoline, diesel), paints, lubricants, detergent.",R-BASF-ULTRAMID-CHEM,p. 3 Chemical resistance overview of Ultramid Nylon,"Key: + resistant (only slight changes to weight, dimensions, properties); ¡ limited resistance (noticeable change in properties, prolonged exposure may cause irreversible damage); - not resistant (attack and/or environmental stress cracking within a short time); S plastic dissolved by the chemical. Number in brackets = mass increase at saturation, unreinforced grades. The guide rates unmodified Ultramid B27E (PA6) and A27E (PA66) together unless a note says otherwise."
PB00117,PA6,organic-solvent,Acetone,Room temperature (15-35 °C) unless stated; aqueous solution at the stated wt%,resistant,+ (2 %) at RT; + at 60 °C,R-BASF-ULTRAMID-CHEM,"p. 4 table, Acetone","Key: + resistant (only slight changes to weight, dimensions, properties); ¡ limited resistance (noticeable change in properties, prolonged exposure may cause irreversible damage); - not resistant (attack and/or environmental stress cracking within a short time); S plastic dissolved by the chemical. Number in brackets = mass increase at saturation, unreinforced grades. The guide rates unmodified Ultramid B27E (PA6) and A27E (PA66) together unless a note says otherwise."
PB00118,PA6,organic-solvent,Ethanol,Room temperature (15-35 °C) unless stated; aqueous solution at the stated wt%,resistant,+ (15 %) at RT,R-BASF-ULTRAMID-CHEM,"p. 9 table, Ethanol","Key: + resistant (only slight changes to weight, dimensions, properties); ¡ limited resistance (noticeable change in properties, prolonged exposure may cause irreversible damage); - not resistant (attack and/or environmental stress cracking within a short time); S plastic dissolved by the chemical. Number in brackets = mass increase at saturation, unreinforced grades. The guide rates unmodified Ultramid B27E (PA6) and A27E (PA66) together unless a note says otherwise."
PB00119,PA6,organic-solvent,Toluene,Room temperature (15-35 °C) unless stated; aqueous solution at the stated wt%,resistant,+ at RT; + at 100 °C,R-BASF-ULTRAMID-CHEM,"p. 16 table, Toluene","Key: + resistant (only slight changes to weight, dimensions, properties); ¡ limited resistance (noticeable change in properties, prolonged exposure may cause irreversible damage); - not resistant (attack and/or environmental stress cracking within a short time); S plastic dissolved by the chemical. Number in brackets = mass increase at saturation, unreinforced grades. The guide rates unmodified Ultramid B27E (PA6) and A27E (PA66) together unless a note says otherwise."
PB00120,PA6,oil-grease,"Greases, lubricants, fuels (gasoline, diesel), brake fluids",Not stated,resistant,"Chemical resistance overview: Very resistant – aliphatic and aromatic hydrocarbons, alkalis, brake fluids, ethers, esters, greases, ketones, fuels (gasoline, diesel), paints, lubricants, detergent.",R-BASF-ULTRAMID-CHEM,p. 3 Chemical resistance overview of Ultramid Nylon,"Key: + resistant (only slight changes to weight, dimensions, properties); ¡ limited resistance (noticeable change in properties, prolonged exposure may cause irreversible damage); - not resistant (attack and/or environmental stress cracking within a short time); S plastic dissolved by the chemical. Number in brackets = mass increase at saturation, unreinforced grades. The guide rates unmodified Ultramid B27E (PA6) and A27E (PA66) together unless a note says otherwise."
PB00121,PA6,oil-grease,"Fuel, engine: Gasoline (normal & premium grade)",Room temperature (15-35 °C) unless stated; aqueous solution at the stated wt%,resistant,+ at RT; + at 85 °C,R-BASF-ULTRAMID-CHEM,"p. 9 table, Fuel, engine","Key: + resistant (only slight changes to weight, dimensions, properties); ¡ limited resistance (noticeable change in properties, prolonged exposure may cause irreversible damage); - not resistant (attack and/or environmental stress cracking within a short time); S plastic dissolved by the chemical. Number in brackets = mass increase at saturation, unreinforced grades. The guide rates unmodified Ultramid B27E (PA6) and A27E (PA66) together unless a note says otherwise."
PB00122,PA6,oil-grease,"Oils (vegetable, ethereal, mineral)",Room temperature (15-35 °C) unless stated; aqueous solution at the stated wt%,resistant,"+ at RT (see also ""Lubricating oils"")",R-BASF-ULTRAMID-CHEM,"p. 13 table, Oils","Key: + resistant (only slight changes to weight, dimensions, properties); ¡ limited resistance (noticeable change in properties, prolonged exposure may cause irreversible damage); - not resistant (attack and/or environmental stress cracking within a short time); S plastic dissolved by the chemical. Number in brackets = mass increase at saturation, unreinforced grades. The guide rates unmodified Ultramid B27E (PA6) and A27E (PA66) together unless a note says otherwise."
PB00123,PA6,water-solubility,Water (including seawater),Room temperature (15-35 °C) unless stated; aqueous solution at the stated wt%,resistant,+ at RT; chlorinated (0.5 mg/l) at 80 °C: +,R-BASF-ULTRAMID-CHEM,"p. 17 table, Water","Key: + resistant (only slight changes to weight, dimensions, properties); ¡ limited resistance (noticeable change in properties, prolonged exposure may cause irreversible damage); - not resistant (attack and/or environmental stress cracking within a short time); S plastic dissolved by the chemical. Number in brackets = mass increase at saturation, unreinforced grades. The guide rates unmodified Ultramid B27E (PA6) and A27E (PA66) together unless a note says otherwise."
PB00124,PA6,hydrolysis,"Steam, 100 °C",100 °C,limited,¡ (limited resistance),R-BASF-ULTRAMID-CHEM,"p. 16 table, Steam","Key: + resistant (only slight changes to weight, dimensions, properties); ¡ limited resistance (noticeable change in properties, prolonged exposure may cause irreversible damage); - not resistant (attack and/or environmental stress cracking within a short time); S plastic dissolved by the chemical. Number in brackets = mass increase at saturation, unreinforced grades. The guide rates unmodified Ultramid B27E (PA6) and A27E (PA66) together unless a note says otherwise."
