MaterialID,Original name,Family,H2C status,Representative grade,Best uses,Limitations,Full name,Scope,Abbreviation,Base polymer,Estimate identity,Modifier / filler,Variant class,Role,Identity notes
M092,nGen / Amphora,Copolyesters,Theoretical,G092-01,General copolyester functional parts and decorative translucent items.,nGen uses Eastman Amphora AM3300. Not synonymous with all Amphora formulations.,Amphora-Based Copolyester (nGen Family),H2C-relevant,nGen / Amphora,nGen,nGen,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,nGen uses Eastman Amphora AM3300 per the original record. Not synonymous with all Amphora formulations. The current colorFabb TDS v2.0 names Amphora HT3300; recorded as an open identity conflict 2026-09-13.
M093,PVB,PVB / Specialty Polymers,Theoretical,G093-01,"Decorative translucent pieces, vases and lampshades.",Not published,Polyvinyl Butyral,H2C-relevant,PVB,PVB,PVB,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M094,PC-ABS,Polymer Blends,Theoretical,G094-01,"Family context in Q00290, Q00291, Q00292, Q00293",Not published,Polycarbonate / Acrylonitrile Butadiene Styrene Blend,H2C-relevant,PC-ABS,PC,PC-ABS,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M095,PC-PBT,Polymer Blends,Theoretical,G095-01,"Family context in Q00290, Q00291, Q00292, Q00293",Not published,Polycarbonate / Polybutylene Terephthalate Blend,H2C-relevant,PC-PBT,PC,PC-PBT,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M096,PVDF,Fluoropolymers,Conditional,G096-01,Not published,Not published,Polyvinylidene Fluoride,H2C-relevant,PVDF,PVDF,PVDF,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M097,PEEK,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,G097-01,Industrial heat-resistant technical parts; printer and end-use qualification required. This entry remains excluded from H2C printing.,Excluded from H2C. Industrial printing profile only.,Polyether Ether Ketone,Excluded,PEEK,PEEK,Not applicable,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M098,PEKK,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,G098-01,Industrial heat-resistant technical parts; printer and end-use qualification required. This entry remains excluded from H2C printing.,Excluded from H2C. Industrial printing profile only.,Polyether Ketone Ketone,Excluded,PEKK,PEKK,Not applicable,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M099,PEI / ULTEM,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,G099-01,Industrial heat-resistant technical parts; printer and end-use qualification required. This entry remains excluded from H2C printing.,Excluded from H2C. Industrial printing profile only.,Polyetherimide,Excluded,PEI / ULTEM,PEI,Not applicable,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,Not applicable
M100,PSU,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,G100-01,Industrial heat-resistant technical parts; printer and end-use qualification required. This entry remains excluded from H2C printing.,Excluded from H2C. Industrial printing profile only.,Polysulfone,Excluded,PSU,PSU,Not applicable,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M101,PESU / PES,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,G101-01,Industrial heat-resistant technical parts; printer and end-use qualification required. This entry remains excluded from H2C printing.,Excluded from H2C. Industrial printing profile only.,Polyethersulfone,Excluded,PESU / PES,PESU,Not applicable,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,Not applicable
M102,PPSU,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,G102-01,Industrial heat-resistant technical parts; printer and end-use qualification required. This entry remains excluded from H2C printing.,Excluded from H2C. Industrial printing profile only.,Polyphenylsulfone,Excluded,PPSU,PPSU,Not applicable,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M103,PP Lightweight,Polyolefins,Theoretical,G103-01,Low-density parts where mass matters more than stiffness or strength; verify exact exposure.,Not published,Lightweight Polypropylene,H2C-relevant,PP Lightweight,PP,PP,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,"Filed 2026-09-15 (m25) from PP: 3DXTECH HyperLite PP carries a low-density additive (0.75-0.81 g/cm³), so its values are not unfilled polypropylene's."
M104,PA6-CE,Nylon / Polyamide,Theoretical,G104-01,Not published,Not published,Polyamide 6 (Nylon 6) (Ceramic),H2C-relevant,PA6-CE,PA6,PA6,Ceramic,Not applicable,Structural / functional / appearance,"Identity read from S-SPECTRUM-en-tds-spectrum-pa6-cs20-frv0 (p. 1): name: pa6; filler: ceramic (from the sheet, not the name)."
M105,ASA-EC,ASA,Theoretical,G105-01,Not published,Not published,Acrylonitrile Styrene Acrylate (Electrically conductive),H2C-relevant,ASA-EC,ASA,ASA,Electrically conductive,Not applicable,Structural / functional / appearance,Identity read from S-SPECTRUM-en-tds-spectrum-asa-conductive (p. 1): name: asa; filler: conductive.
M106,ABS-AF,ABS,Theoretical,G106-01,Not published,Not published,Acrylonitrile Butadiene Styrene (Aramid fibre),H2C-relevant,ABS-AF,ABS,ABS,Aramid fibre,Not applicable,Structural / functional / appearance,Identity read from S-SPECTRUM-en-tds-spectrum-abs-kevlar (p. 1): name: abs; filler: kevlar.
M107,PLA-ESD,PLA,Theoretical,G107-01,Not published,Not published,Polylactic Acid (ESD formulation),H2C-relevant,PLA-ESD,PLA,PLA,ESD formulation,Not applicable,Structural / functional / appearance,Identity read from S-SPECTRUM-en-tds-spectrum-pla-esd (p. 1): name: pla; filler: esd.
M108,PA6-GS,Nylon / Polyamide,Theoretical,G108-01,Not published,Not published,Polyamide 6 (Nylon 6) (Glass spheres),H2C-relevant,PA6-GS,PA6,PA6,Glass spheres,Not applicable,Structural / functional / appearance,"Identity read from S-SPECTRUM-en-tds-spectrum-pa6-gk10 (p. 1): name: pa6; filler: glass-spheres (from the sheet, not the name)."
M109,PETG-PTFE,PETG,Theoretical,G109-01,Not published,Not published,Polyethylene Terephthalate Glycol-Modified (PTFE),H2C-relevant,PETG-PTFE,PETG,PETG,PTFE,Not applicable,Structural / functional / appearance,Identity read from S-SPECTRUM-en-tds-spectrum-petg-ptfe (p. 1): name: petg; filler: ptfe.
M110,PCTG-GF,Copolyesters,Theoretical,G110-01,Not published,Not published,Glycol-Modified Polycyclohexylenedimethylene Terephthalate (Glass fibre),H2C-relevant,PCTG-GF,PCTG,PCTG,Glass fibre,Not applicable,Structural / functional / appearance,Identity read from S-SPECTRUM-en-tds-spectrum-pctg-gf10 (p. 1): name: pctg; filler: gf10.
M111,PLA-EC,PLA,Theoretical,G111-01,Not published,Not published,Polylactic Acid (Electrically conductive),H2C-relevant,PLA-EC,PLA,PLA,Electrically conductive,Not applicable,Structural / functional / appearance,Identity read from S-SPECTRUM-en-tds-spectrum-pla-conductive (p. 1): name: pla; filler: conductive.
M112,PC-PTFE,Polycarbonate,Theoretical,G112-01,Not published,Not published,Polycarbonate (PTFE),H2C-relevant,PC-PTFE,PC,PC,PTFE,Not applicable,Structural / functional / appearance,Identity read from S-SPECTRUM-en-tds-spectrum-pc-ptfe (p. 1): name: pc; filler: ptfe.
M113,ASA-AF,ASA,Theoretical,G113-01,Not published,Not published,Acrylonitrile Styrene Acrylate (Aramid fibre),H2C-relevant,ASA-AF,ASA,ASA,Aramid fibre,Not applicable,Structural / functional / appearance,Identity read from S-SPECTRUM-en-tds-spectrum-asa-kevlar (p. 1): name: asa; filler: kevlar.
M114,TPC-ESD,Flexible Elastomers,Theoretical,G114-01,Not published,Not published,Thermoplastic Copolyester / Thermoplastic Polyester Elastomer (ESD formulation),H2C-relevant,TPC-ESD,TPC,TPC,ESD formulation,Not applicable,Structural / functional / appearance,Identity read from X-ECOMAX-ESD-TPC-92A-v3 (p. 1): name: tpc; filler: 3dxstat; hardness: 90A.
M115,PEKK-ESD,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,G115-01,Not published,Not published,PEKK-ESD,Excluded,PEKK-ESD,PEKK,Not applicable,ESD formulation,Not applicable,Structural / functional / appearance,"Identity read from X-ECOMAX-3DXSTAT-ESD-PEKK-TDS (p. 1): name: pekk; filler: 3dxstat. No row in polymers.csv, so the estimate model does not identify it and it shows only what its sheets publish."
M116,PC-ESD,Polycarbonate,Theoretical,G116-01,Not published,Not published,Polycarbonate (ESD formulation),H2C-relevant,PC-ESD,PC,PC,ESD formulation,Not applicable,Structural / functional / appearance,Identity read from X-ECOMAX-3DXSTAT-ESD-PC-v3-TDS (p. 1): name: pc; filler: 3dxstat.
M117,PEI-GF,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,G117-01,Not published,Not published,PEI-GF,Excluded,PEI-GF,PEI,Not applicable,Glass fibre,Not applicable,Structural / functional / appearance,"Identity read from X-ECOMAX-FIBREX-GF30-ULTEM-PEI-v1 (p. 1): name: pei; filler: gf30. No row in polymers.csv, so the estimate model does not identify it and it shows only what its sheets publish."
M118,PEI-CF,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,G118-01,Not published,Not published,PEI-CF,Excluded,PEI-CF,PEI,Not applicable,Carbon fibre,Not applicable,Structural / functional / appearance,"Identity read from X-ECOMAX-CarbonX-CF-Ultem-TDS-v3 (p. 1): name: ultem; filler: carbonfiber. No row in polymers.csv, so the estimate model does not identify it and it shows only what its sheets publish."
M119,PC-ASA,Polymer Blends,Theoretical,G119-01,Not published,Not published,PC-ASA,H2C-relevant,PC-ASA,PC-ASA,Not applicable,Unfilled / unspecified,Not applicable,Structural / functional / appearance,"Identity read from X-ECOMAX-3DXMAX-PCASA-TDS-v3 (p. 1): name: pc-asa. No row in polymers.csv, so the estimate model does not identify it and it shows only what its sheets publish."
M120,PVDF-ESD,Fluoropolymers,Theoretical,G120-01,Not published,Not published,Polyvinylidene Fluoride (ESD formulation),H2C-relevant,PVDF-ESD,PVDF,PVDF,ESD formulation,Not applicable,Structural / functional / appearance,Identity read from X-ECOMAX-3DXSTAT-ESD-PVDF-v3-TDS (p. 1): name: pvdf; filler: 3dxstat.
M121,TPI,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,G121-01,Not published,Not published,TPI,Excluded,TPI,TPI,Not applicable,Unfilled / unspecified,Not applicable,Structural / functional / appearance,"Identity read from X-ECOMAX-Thermax-TPI-TDS-TDS-v1 (p. 1): name: tpi. No row in polymers.csv, so the estimate model does not identify it and it shows only what its sheets publish."
M122,PEKK-CF,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,G122-01,Not published,Not published,PEKK-CF,Excluded,PEKK-CF,PEKK,Not applicable,Carbon fibre,Not applicable,Structural / functional / appearance,"Identity read from X-ECOMAX-CarbonX-CF15-PEKK-A-TDS-v1 (p. 1): name: pekk; filler: cf15. No row in polymers.csv, so the estimate model does not identify it and it shows only what its sheets publish."
M123,PEI-ESD,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,G123-01,Not published,Not published,PEI-ESD,Excluded,PEI-ESD,PEI,Not applicable,ESD formulation,Not applicable,Structural / functional / appearance,"Identity read from X-ECOMAX-3DXSTAT-ESD-Ultem1010-TDS-v3-1 (p. 1): name: ultem; filler: 3dxstat. No row in polymers.csv, so the estimate model does not identify it and it shows only what its sheets publish."
M124,PPS-ESD,High-Performance Engineering,Theoretical,G124-01,Not published,Not published,Polyphenylene Sulfide (ESD formulation),H2C-relevant,PPS-ESD,PPS,PPS,ESD formulation,Not applicable,Structural / functional / appearance,Identity read from X-ECOMAX-3DXSTAT-ESD-PPS-v3-TDS (p. 1): name: pps; filler: 3dxstat.
M125,PEEK-CF,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,G125-01,Not published,Not published,PEEK-CF,Excluded,PEEK-CF,PEEK,Not applicable,Carbon fibre,Not applicable,Structural / functional / appearance,"Identity read from X-ECOMAX-CarbonX-CF-PEEK-TDS-v3 (p. 1): name: peek; filler: carbonfiber. No row in polymers.csv, so the estimate model does not identify it and it shows only what its sheets publish."
M126,TPU-ESD,Flexible Elastomers,Theoretical,G126-01,Not published,Not published,Thermoplastic Polyurethane (ESD formulation),H2C-relevant,TPU-ESD,TPU,TPU,ESD formulation,Not applicable,Structural / functional / appearance,Identity read from X-ECOMAX-3DXSTAT-ESD-TPU-90A-TDS-v1-1 (p. 1): name: tpu; filler: 3dxstat; hardness: 90A.
M127,PEEK-GF,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,G127-01,Not published,Not published,PEEK-GF,Excluded,PEEK-GF,PEEK,Not applicable,Glass fibre,Not applicable,Structural / functional / appearance,"Identity read from X-ECOMAX-FIBREX-GF20-PEEK-v2 (p. 1): name: peek; filler: gf20. No row in polymers.csv, so the estimate model does not identify it and it shows only what its sheets publish."
M128,PC-ABS-CF,Polymer Blends,Theoretical,G128-01,Not published,Not published,Polycarbonate / Acrylonitrile Butadiene Styrene Blend (Carbon fibre),H2C-relevant,PC-ABS-CF,PC-ABS,PC-ABS,Carbon fibre,Not applicable,Structural / functional / appearance,Identity read from X-ECOMAX-CarbonX-CF-PC-ABS-TDS-v1-1 (p. 1): name: pc-abs; filler: carbonfiber.
