Verdict,Note,measurementid,material,manufacturer,grade,property,value,unit,median,z,group_grades,direction,specimen_form,sourceid,locator,SHA256,URL
implausible,"Prints ""Breaking Elongation 102%"" for PETG with 15% chopped fibres, beside ""Bending modulus 65MPa"": a fibre-filled PETG cannot reach 102%, and the sheet's other lines are equally impossible.",V007717,PETG-CF,SIDDAMENT,PETG CF V2s,Elongation at break,102,%,7.25,18,10,Unstated,unstated,S-PCGF-PETG-CF-v2,p. 1: Breaking Elongation,aca22afd0761b9e65eae4358007b056112511df55e76a8e2c0b78bf7aca1d7bd,https://cdn.shopify.com/s/files/1/0685/9168/1815/files/PETG_CF_v2.pdf?v=1714049413
real,"Prints ""Heat Deflection Temperature 108°C DSC"" (load not stated; VICAT 140°C) for a heat-resistant ""HT-PLA""; credible for a crystallising high-heat PLA.",V002876,PLA,Spectrum,THE FILAMENT HT-PLA,HDT,108,°C,55,17.9,94,Not applicable,unstated,S-SPECTRUM-en-tds-the-filament-ht-pla,p. 1: Heat Deflection Temperature,711dab3aa7d93671385898b7a517a420b93e238aa96178313d3df0f7e120ee82,https://spectrumfilaments.com/wp-content/uploads/2025/09/en_tds_the_filament_ht_pla.pdf
wrong-condition,"Prints ""HDT A 70 °C ISO 75"" in the ""Injection"" column of the ""FDM H / Injection"" table (page image); value right, but it is an injection-moulded value and the row says specimen Not published.",V008833,ABS-ESD,Nobufil,ABSx ESD,HDT,70,°C,96.5,-17.9,4,Not applicable,unstated,R-3DJAKE-3DJAKE-c9047f-87fad94441284d8b9a04976ae0a5e874,p. 1: HDT A,34f5e24a4643e04cd6fceed142898a67f06e8fdeebe2bd618efaa5f1bf4c2ec6,https://3d.nice-cdn.com/upload/file/c9047f_87fad94441284d8b9a04976ae0a5e874.pdf
implausible,"Prints ""Elastic modulus X-Y 50mm/min GB/T 1040.1-2006 MPa 217.08"" (printed samples): a tenth of any ABS's modulus, a 50 mm/min crosshead reading. Printed specimen also not recorded.",V005137,ABS,Eryone,Hyper -Speed ABS,Tensile modulus,0.21708,GPa,2.2466,-17.5,8,XY,unstated,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--fbbd78,p. 2: Elastic modulus X-Y 50mm/min GB/T 1040.1-2006 MPa,fbbd78d14bbb59d010d609a96c92fa13da80ea45199100a8133d927df4a111f3,https://hub.globalso.com/b/file_manager_downLoad?path=/file_manage/3828/20250903/eryone-abs-hs-tds.pdf
wrong-condition,"Prints ""IZOD Impact Strength 33.15 (kJ/㎡)"" from ""the injection molding spline test"" (p. 2), not recorded. Also a soft low-density PLA (1.174, flex 1119 MPa): Variant unset.",V007419,PLA,eSUN,ePLA Matte,Izod impact strength,33.15,kJ/m²,4.9,17.3,28,Not applicable,unstated,S-PEBA-eSUN-ePLA-Matte-Filament-TDS-V4-0,p. 1: IZOD Impact Strength,ef0cb9744ac66fb7d565ec915251177c1df831ca5266ef47929c3c59dd7fd796,https://3d.nice-cdn.com/upload/file/eSUN_ePLA-Matte-Filament_TDS_V4.0.pdf
implausible,"Prints ""Glass transition temperature 65 °C ISO 11357"" beside ""Melting temperature 135 °C"" and Vicat 90 °C: an amorphous ASA's SAN phase does not transition at 65 °C nor melt at 135 °C.",V006028,ASA-CF,Fillamentum,ASA CF10 Carbon,Glass transition temperature,65,°C,105,-16.9,3,Not applicable,unstated,R-FILLAMENTUM-Fillamentum-ASA-CF10-Carbon,p. 1: Glass transition temperature,3f8e879fbcec3db11f3c553b7e93b62d89dcc1ce8e2804184990f40fac1d4c48,https://filament2print.com/en/index.php?controller=attachment&id_attachment=3120
implausible,"Prints ""Flexural Stress ISO 178 171 MPa"" beside tensile yield 53 MPa and flexural modulus 2040 MPa: over three times the tensile yield of a PETG. Already flagged implausible by m126.",V007147,PETG,3D4Makers,PETG,Flexural strength,171,MPa,70,16.9,28,Unstated,unstated,R-3D4MAKERS-TDS-PETG-Filament,p. 1: Flexural Stress ISO 178,a04e868e10468afb8e0859df246c768a37fde4322826073b93ab960b02a4887e,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_PETG_Filament.pdf?11366335339713838866
implausible,"Prints ""Glass Transition Temperature ISO 11357 80°C"": ABS's SAN phase transitions near 105 °C, and this sheet's HDT at 1.8 MPa (75℃) exceeds its HDT at 0.45 MPa (70℃).",V000605,ABS-ESD,iSANMATE,ESD ABS,Glass transition temperature,80,°C,104,-16.2,3,Not applicable,unstated,I-ESD-ABS-TDS,p. 1: Glass Transition Temperature,821d1a6b61e180865743990dcc664de686fde4b3c1d37361a7a69ffc46778a9c,https://www.isanmate.com/wp-content/uploads/2024/09/ESD-ABS_TDS.pdf
real,"Prints ""Notched Impact Strength ISO 180 kJ/m2 17""; high for PETG but within reach of a tough PETG, and nothing on the sheet contradicts it.",V007939,PETG,SIDDAMENT,PETG,Izod impact strength,17,kJ/m²,5,16.2,16,Not applicable,unstated,S-PCGF-PETG-TDS-Siddament,p. 1: Notched Impact Strength ISO 180 kJ/m2,8208065d91c3401156c5b72d1565ac2d41778577da04dbec94b24f1b4a466e10,https://cdn.shopify.com/s/files/1/0685/9168/1815/files/PETG_TDS_Siddament.pdf?v=1745839600
wrong-condition,"Prints ""Charpy impact strength 130 kJ/m² ISO 179-1eU -30 °C, unnotched"" (at 23 °C unnotched: ""no break""); value right, but the -30 °C test temperature is not recorded.",V006137,HIPS,Fillamentum,HIPS Extrafill,Charpy strength,130,kJ/m²,12,15.9,6,Not applicable,unstated,R-FILLAMENTUM-Technical-Data-Sheet-HIPS-Extrafill-03012019,p. 1: Charpy impact strength,f1315c21750d29a8fa04dff6f344cc51741538898cf7a0dfc27f8f63424ba892,https://fillamentum.com/wp-content/uploads/2020/10/Technical-Data-Sheet_HIPS-Extrafill_03012019.pdf
wrong-property,"""Melt temperature °C 390"" is in the Processing block (Zone 1-3, Nozzle 360-380): an extrusion melt temperature setting, not the polymer's melting point.",V009608,PEEK-CF,LEHVOSS,LUVOCOM 3F PEEK CF 9676 BK,Melting temperature,390,°C,343,15.9,3,Not applicable,unstated,S-PET-TDS-LUVOCOM-3F-PEEK-CF-9676-BK,p. 2: Melt temperature °C,447ce0d9e179f2aa2a05bf080ae3b75e459edd818269faff2c7e66c1b201f509,https://formfutura.sharepoint.com/sites/downloads/Shared%20Documents/Downloads%20Server/Materials/Filaments/Partner%20Materials/Lehvoss/Luvocom%203F%20PEEK%20CF%209676%20BK/Data%20sheets%20%26%20declarations/TDS%20-%20LUVOCOM%203F%20PEEK%20CF%209676%20BK.pdf
real,"Prints ""Charpy unnotched impact strength kJ/m2 13.48 ISO 179-1/1 eU"" (3D printed; notched 2.81); credible unnotched PLA, compared here with notched values.",V005790,PLA,colorFabb,PLA-HP,Charpy strength,13.48,kJ/m²,2.87,15.6,10,Not applicable,printed,R-COLORFABB-TDS-E-ColorFabb-PLA-HP-5210c3,p. 1: Charpy unnotched impact strength kJ/m2,5210c315281e63b30071dbe6d80ac70eb8ab244218254f1e48ae89dcbeea752b,https://3d.nice-cdn.com/upload/file/TDS_E_ColorFabb_PLA-HP.pdf
real,"Prints ""VICAT 140°C DSC"" (load not stated; ""Features VICAT - 140°"") for a heat-resistant HT-PLA; credible for a crystallising high-heat PLA.",V002877,PLA,Spectrum,THE FILAMENT HT-PLA,Vicat softening temperature,140,°C,60,15.4,38,Not applicable,unstated,S-SPECTRUM-en-tds-the-filament-ht-pla,p. 1: VICAT,711dab3aa7d93671385898b7a517a420b93e238aa96178313d3df0f7e120ee82,https://spectrumfilaments.com/wp-content/uploads/2025/09/en_tds_the_filament_ht_pla.pdf
real,"Prints ""Vicat softening point 140 °C ISO 306""; the sheet declares a crystallising high-heat PLA (Tc 105 °C, 150 °C long-term), so a high Vicat is credible.",V007603,PLA,FormFutura,Volcano PLA 150C,Vicat softening temperature,140,°C,60,15.4,38,Not applicable,unstated,S-PET-TDS-Volcano-PLA-150C,p. 1: Vicat softening point,58c00d7eedec0418933e45a79f49e2e58b245a26b29c5033ef5560e2e6ea0211,https://3d.nice-cdn.com/upload/file/TDS_-_Volcano_PLA_150C.pdf
wrong-condition,"Prints ""Tensile Stress at Break (MPa) D638 18"" (yield 31, strain at break 27%): value right and credible after necking, but ""Plastic test plaques are printed with full infill"" is not recorded.",V009329,PLA,Markforged,Precise PLA,Tensile break strength,18,MPa,52,-15.3,12,Unstated,unstated,R-MARKFORGED-Precise-PLA-TDS-REV-3-11-22,p. 1: Tensile Stress at Break,a93572fa4b5b3e680184ee22060b37592b4842f6c70caf7258f2be7d0926690e,https://web-objects.markforged.com/craft/materials/Precise-PLA-TDS-REV_3.11.22.pdf
real,"Prints ""Density/(g/cm³) ISO 1183,at 23°C g/cm 1.2""; the sheet describes a metal-look PLA (""metal surface luster""), not a metal-filled one, so filing under PLA Metal makes it look far out.",V009065,PLA Metal,Anycubic,PLA Metal,Density,1200,kg/m³,2330,-15.2,8,Not applicable,unstated,R-3DJAKE-3DJAKE-ANYCUBIC-TDS-PLA-Metal-V3-0,"p. 1: Density/(g/cm³) ISO 1183,at 23°C g/cm3",a243d88c986e00ad3ea0fbacf10b8c1b7891017e001a347d28bf9dcbdf11b33d,https://3d.nice-cdn.com/upload/file/ANYCUBIC_TDS_PLA_Metal_V3.0.pdf
implausible,"Prints ""Tensile modulus X-Y 50mm/min GB/T 1040.1-2006 MPa 942.5"" (printed samples): under half of any ASA's modulus, a 50 mm/min crosshead reading. Printed specimen also not recorded.",V005008,ASA,Eryone,ASA,Tensile modulus,0.9425,GPa,2.317,-15,7,XY,unstated,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--9a96a3,p. 2: Tensile modulus X-Y 50mm/min GB/T 1040.1-2006 MPa,9a96a377148ec62433d858c757d7fbde8a989a67616169a6e8debf36650d9dc9,https://hub.globalso.com/b/file_manager_downLoad?path=/file_manage/3828/20250903/eryone-asa-tds.pdf
wrong-condition,"Prints ""Density GB/T 1033 1.225 g/cm³""; p. 2 says properties come from ""the injection molding spline test"". A metallic-lustre PLA, not metal-filled, so PLA Metal filing misleads.",V007387,PLA Metal,eSUN,ePLA Metal,Density,1225,kg/m³,2330,-14.9,8,Not applicable,unstated,S-PEBA-ePLA-Metal-TDS,p. 1: Density GB/T 1033,e5987bde5b93939b96d63e27e9aa89b0fbc947ef4adcc5046d5adec14f36da6e,https://3d.nice-cdn.com/upload/file/ePLA-Metal-TDS.pdf
wrong-condition,"Prints ""Tensile Strength (X-Y) GB/T 1040 48.11±0.535 Mpa""; value right, but p. 3: ""evaluated based on standard samples printed by eSUN"" (100% infill), not recorded.",V007223,PETG-ESD,eSUN,PETG-ESD,Tensile strength (endpoint unspecified),48.11,MPa,36.05,14.8,4,XY,unstated,S-PEBA-PETG-ESD-TDS-EN,p. 2: Tensile Strength (X-Y) GB/T 1040,b82fad6b1d2d38bce104e5c37c160af3126a2c3d9037d82eaf18021bf61902f2,https://3d.nice-cdn.com/upload/file/PETG-ESD-TDS-EN.pdf
wrong-condition,"Prints ""拉伸模量(Z) Young's modulus (Z) ISO 527 2953.14±1.01 MPa"" (XY 4020.55); value credible, but ""Specimens printed under the following conditions ... Infill 100%"" is not recorded.",V008124,PLA-CF,QIDI,PLA-CF,Tensile modulus,2.95314,GPa,2.2066,14.4,4,Z,unstated,R-QIDI-PLA-CF,p. 2: 拉伸模量(Z) ISO 527 Young’s modulus (Z),b7b686b8eb094afd2a5956f30c619187d8f986b94237b67c4ac4456b0b5fea0f,https://drive.google.com/file/d/1dk41nYV0pojrq42LQqJi5zH_weJjNSkI/view?usp=drive_link
implausible,"Prints ""Glass Transition(Tg) ISO11357-3 10℃/min ℃ 135"" beside ""Melting Point 148"", HDT 104 and Vicat 95: an amorphous ABS cannot have a Tg 40 °C above its own Vicat, nor a melting point.",V008549,ABS-GF,SUNLU,ABS-GF,Glass transition temperature,135,°C,103.5,14.2,4,Not applicable,unstated,R-SUNLU-ABS-GF-TDS,p. 1: Glass Transition(Tg) ISO11357-3 10℃/min ℃,c3b7ec6fb0875c943c690979ade2b637ffb580293205cb3cae004575948682d6,https://3d.nice-cdn.com/upload/file/ABS-GF_TDS.pdf
real,"Prints ""VICAT A (VST) ISO 306 °C 140*"" (*tested at ≥ 4 mm wall) for a Shore 58D TPU whose text claims heat resistance up to 140°C; credible for a hard TPU.",V008569,TPU,Extrudr,FLEX HARD,Vicat softening temperature,140,°C,98.5,14,7,Not applicable,unstated,R-EXTRUDR-flex-hard-TDS-en-cbd667,p. 1: VICAT A (VST) ISO 306 °C,cbd667aaf13501cc6ac1583c430e228004edd8484d295939bd2abd693757da68,https://3d.nice-cdn.com/upload/file/flex-hard-TDS-en.pdf
variant,"Prints ""Tensile Modulus ASTM D638 57,500 psi 396 Mpa"" (75 Shore D): a declared ""Semi-Rigid Polyurethane""; Variant unset. Printed specimens (TAZ5) also not recorded.",V007170,TPU,NinjaTek,Armadillo,Tensile modulus,0.3964487,GPa,0.04,13.9,11,Unstated,unstated,R-NINJATEK-Armadillo-TDS,p. 1: Tensile Modulus ASTM D638,a8d1bf4b60626fb7e668179adb1432a8e873106c527f78c696503e7eb7852c24,https://ninjatek.com/wp-content/uploads/Armadillo-TDS.pdf
real,"Prints ""Elongation at break % ASTM D-638 12"" (tensile 51 MPa, notched 27 kJ/m²); density 1.10-1.13 shows a lightly glass-filled ABS, for which 12% is credible.",V009936,ABS-GF,iSANMATE,ABS Glass Fiber,Elongation at break,12,%,3.66,13.7,4,Unstated,unstated,I-PLA-ABS-Glass-Fiber-Technical-Data-Sheet,p. 1: Elongation at break,afd176bdc3c7ea80e14f8514635212be4071491542ddd93f83a702c4673ebb73,https://www.isanmate.com/wp-content/uploads/2025/08/ABS-Glass-Fiber-Technical-Data-Sheet.pdf
real,"Prints ""Stress at break ISO 527 MPa 23"" beside tensile strength 47 MPa and nominal elongation at break 19% (""MATT & TOUGH""): a ductile PLA drawn past its maximum, so a low break stress is credible.",V008560,PLA,Extrudr,PLA NX2,Tensile break strength,23,MPa,52,-13,12,Unstated,unstated,R-EXTRUDR-pla-nx2-TDS-en,p. 1: Stress at break ISO 527 MPa,c55d66cf725c65a29a62351388cd1ea4032f877454a49cb4673f029faaaa527f,https://3d.nice-cdn.com/upload/file/pla-nx2-TDS-en.pdf
wrong-condition,"Prints ""Bending Modulus (Z) ISO 178, GB/T 9341 1590 ± 100 MPa""; value right, but p. 3: printed specimens ""annealed and dried at 80 °C for 12 hours prior to testing"", not recorded.",V009721,ABS,Kingroon,ABS,Flexural modulus,1.59,GPa,2.19,-12.8,4,Z,unstated,R-3DJAKE-KINGROON-ABS-Technical-Data-Sheet-V1-0,"p. 2: Bending Modulus (Z) ISO 178, GB/T 9341",75b8c8459a05ae31544f50a3c00818209af400ccb526c3e64c612bd5b45b414e,https://3d.nice-cdn.com/upload/file/KINGROON_ABS_Technical_Data_Sheet_V1.0.pdf
wrong-condition,"Prints ""Impact strength 58 KJ/m² ISO 179 Charpy Notched @23° C"": the sheet says notched, but the row's Notch is Not published.",V010443,ABS,FormFutura,ReForm - rTitan,Charpy strength,58,kJ/m²,20.015,12.7,8,Not applicable,unstated,S-PET-TDS-ReForm-rTitan,p. 1: Impact strength,413a94279eee618eb45795147d0f45353eb8719a0b64ecbd7b4207eedcc9ad21,https://3d.nice-cdn.com/upload/file/TDS_-_ReForm_-_rTitan.pdf
wrong-condition,"Prints ""Modulus of Elasticity (X-Y) ISO 527 Mpa 1200~1400"" (low for ASA); p. 2 ""Testing Specimen Printing Conditions"" makes it printed, which is not recorded.",V005415,ASA,Flashforge,ASA,Tensile modulus,1.2,GPa,2.317,-12.2,7,XY,unstated,D-FLASH-ASA-TDS-EN,p. 1: Modulus of Elasticity (X-Y) ISO 527 Mpa,e0f5bfbf1136257c627776f871845dd1d0323bdbec1a292e23678232c3b29128,https://after-support.flashforge.jp/uploads/datasheet/tds/ASA_TDS_EN.pdf
real,"Prints ""Tensile Elongation, Break ISO 527 % 75"" on printed XY-flat specimens (100% infill, ±45°); credible for a ductile PC/ABS.",V001550,PC-ABS,3DXTECH,3DXMAX PCABS,Elongation at break,75,%,8,11.9,3,XY,printed,X-3DXMAX-PCABS-TDS-v3,"p. 1: Tensile Elongation, Break",2f1bbd6de32a6e9a4a24e1ef7c61d0ebfb39c410faf73fe7be2178a0bf39de05,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/3DXMAX_PCABS_TDS_v3.pdf?v=1723942764
wrong-condition,"Prints ""HDT (crystalline) 90°C DSC"" beside ""HDT (amorphous) 55°C"": value right, but the crystallised (annealed) state is not recorded (Post-processing Not published).",V003031,PLA,Spectrum,FlameGuard PLA,HDT,90,°C,55,11.8,94,Not applicable,unstated,S-SPECTRUM-en-tds-spectrum-flameguard-pla,p. 1: HDT (crystalline),b8ba3dad7deb7b8e7ba691738339ebf4aaf18b93d8bbdcfa72ba6a8134625f32,https://spectrumfilaments.com/wp-content/uploads/2024/11/en_tds_spectrum_flameguard_pla.pdf
wrong-condition,"Prints ""Heat deflection temperature 90 °C"" with ""0.45 MPa (ISO 75-1/-2)"" on the next line; value credible for this ""heat-optimized"" PLA+, but the row's Test load and standard say Not published.",V005586,PLA,Fabru / purefil,Polylactid+ (PLA+),HDT,90,°C,55,11.8,94,Not applicable,unstated,R-FABRU-PUREFIL-8503-Material-data-sheet-PLA-purefil,p. 1: Heat deflection temperature,32e8280e196622c91adca1e9235347bdf24ba5d1db65e84194b8946aae3f9046,https://cdn02.plentyone.com/pvdtyofq45f2/propertyItems/8503%2FMaterial-data-sheet-PLA%2B-purefil.pdf
implausible,"Prints ""Elongation at yield (ASTM D638) 470 %"" and ""Elongation at break (ASTM D638) 470 %"" for a 95A TPU: a yield at the break strain means no yield; 470% is the break elongation repeated.",V005646,TPU,Fabru / purefil,Thermoplastic polyurethane (TPU),Elongation at yield,470,%,60,11.8,4,Unstated,unstated,R-FABRU-PUREFIL-241-Material-data-sheet-TPU-53D-purefil,p. 1: Elongation at yield (ASTM D638),a1b56f11a74479ebb256dfeac5a6811da68de628644ce4d407219a372119cda5,https://cdn02.plentyone.com/pvdtyofq45f2/propertyItems/241%2FMaterial+data+sheet+TPU+53D+purefil.pdf
wrong-condition,"Prints ""Melt Index(g/10 min) 220 ° C, 10kg 240 ° C, 2.16 kg g/10min 42±4"": one value, two conditions; the row fixes 220 °C, which the sheet does not settle.",V004935,PLA,Eryone,Hyper-Speed PLA,Melt mass-flow rate,42,g/10 min,6.9,11.6,75,Not applicable,unstated,R-ERYONE-eryone-hs-pla-tds,"p. 1: Melt Index(g/10 min) 220 ° C, 10kg 240 ° C, 2.16 kg g/10min",6fb8d4f48e1ee7992d83c1939dc0d1b6c18a6846ea19ece48bbae87d54829c48,https://file.globalso.com/file_manage/3828/20250903/eryone-hs-pla-tds.pdf
real,"Prints ""Tensile yield stress 70 MPa ISO 527-2"" (tensile strength 72, strain at yield 3%); credible for a carbon-fibre PETG.",V008764,PETG-CF,3DJake,easyPETG CF,Tensile yield strength,70,MPa,58.3,11.3,3,Unstated,unstated,R-3DJAKE-3DJAKE-TDS-3DJAKE-PETG-CF,p. 1: Tensile yield stress,1f374b85baff32d152584ef518c5b9450193f1fda37e7d6bc7322f881fb942da,https://3d.nice-cdn.com/upload/file/TDS_3DJAKE_PETG-CF.pdf
real,"Prints ""Tensile Elongation, Break ISO 527 % 100"" on printed XY-flat specimens (100% infill, ±45°); credible for a ductile PA6 copolymer.",V001047,PA6/66,3DXTECH,AMIDEX PA6 Copolymer v1 0,Elongation at break,100,%,15,11.2,3,XY,printed,X-AMIDEX-PA6-Copolymer-v1-0,"p. 1: Tensile Elongation, Break",6752cf025a50c485ead78dc0f22a87abcc5f19517ac2f7eccba385236035aaf1,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/AMIDEX_PA6_Copolymer_v1.0.pdf?v=1723942767
real,"Prints ""Tensile strength at break 27,5 MPa ISO 527"" beside tensile strength 44 MPa and elongation at break 12%: a break stress below the maximum after drawing is credible.",V002871,PLA,Spectrum,THE FILAMENT HT-PLA,Tensile break strength,27.5,MPa,52,-11,12,Unstated,unstated,S-SPECTRUM-en-tds-the-filament-ht-pla,p. 1: Tensile strength at break,711dab3aa7d93671385898b7a517a420b93e238aa96178313d3df0f7e120ee82,https://spectrumfilaments.com/wp-content/uploads/2025/09/en_tds_the_filament_ht_pla.pdf
real,"Prints ""Heat Deflection Temperature 100°C D 648"" (load not stated) for ""PET-G HT100"", a heat-resistant co-polyester named for it; credible.",V002853,PETG,Spectrum,PET-G HT100,HDT,100,°C,68,10.8,39,Not applicable,unstated,S-SPECTRUM-en-tds-spectrum-petg-ht100,p. 1: Heat Deflection Temperature,596df17233fa8273c74c0bd8da1b7e154bdf8fbb1760b6b9f4379976bf600df1,https://spectrumfilaments.com/wp-content/uploads/2022/05/en_tds_spectrum_petg_ht100.pdf
real,"Prints ""Tensile Strength @ Yield ISO 527 MPa 47"" under ""3D Printed Sample Properties""; an ordinary printed PETG yield. Large z comes from a tiny group spread.",V005481,PETG,Fiberlogy,FiberWORKS PETG,Tensile yield strength,47,MPa,51,-10.8,3,Unstated,printed,R-FIBERLOGY-FiberWORKS-PETG-TDS,p. 2: Tensile Strength @ Yield ISO 527 MPa,2406d6d6481b839875f540342c90641d5639f0b00c4367c3744e35923d15f69d,https://fiberlogy.com/app/uploads/2026/08/FiberWORKS-PETG-TDS.pdf
real,"Prints ""Tensile Strength @ Break ISO 527 MPa 28"" beside yield 56 MPa and elongation at break 5%: a break stress below the yield after necking is credible.",V005516,PLA,Fiberlogy,VELVET PLA,Tensile break strength,28,MPa,52,-10.8,12,Unstated,unstated,R-FIBERLOGY-FIBERLOGY-VELVET-PLA-TDS-1-3,p. 1: Tensile Strength @ Break ISO 527 MPa,924993cc4c26212ab909281caf6ce9dd6fd1715dba2bf8f48ee7072dce239340,https://fiberlogy.com/app/uploads/2026/07/FIBERLOGY_VELVET-PLA_TDS-1-3.pdf
wrong-property,"Prints ""Ball Pressure Test 125 ºC IEC 60695-10-2 Pass"" below the Vicat rows (A50 215, B50 211, B120 212): a pass at 125 °C in the ball pressure test, not a Vicat softening temperature.",V006882,PEI / ULTEM,3D4Makers,PEI Filament Ultem 1010,Vicat softening temperature,125,°C,173,-10.8,3,Not applicable,unstated,R-3D4MAKERS-TDS-PEI-ULTEM-1010,p. 2: Vicat Softening Temperature Ball Pressure Test,51920bd5d79d8780fb6c64d016716c79972fa0b7164449481889d1387d1ce95f,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_PEI_ULTEM_1010.pdf?5589548939196691641
real,"Prints ""Density ISO 1183 g/cm3 1.23~1.26""; made from ""LUVOCOM® 3F PAHT CF 9891 BK"" (a high-temperature polyamide, 15% CF), so credible; filing under PA12-CF may be wrong.",V006956,PA12-CF,SIDDAMENT,PA12-CF,Density,1230,kg/m³,1070,10.8,9,Not applicable,unstated,S-PCGF-PA12-CF-TDS-EN-1,p. 1: Density ISO 1183 g/cm3,6bafd26ee3d73ad5173240c52d1b6fbd6c6e31e0a76d7b80eb6c2e048b0378ce,https://cdn.shopify.com/s/files/1/0685/9168/1815/files/PA12-CF_TDS-EN_1.pdf?v=1742632094
real,"Prints ""Tensile strength at break 28 MPa ISO 527"" beside yield 43 MPa and elongation at break 11%: a break stress below the yield after drawing is credible.",V007595,PLA,FormFutura,Volcano PLA 150C,Tensile break strength,28,MPa,52,-10.8,12,Unstated,unstated,S-PET-TDS-Volcano-PLA-150C,p. 1: Tensile strength at break,58c00d7eedec0418933e45a79f49e2e58b245a26b29c5033ef5560e2e6ea0211,https://3d.nice-cdn.com/upload/file/TDS_-_Volcano_PLA_150C.pdf
real,"Prints ""HDT °C 134* ISO 75"" with ""*only injection molded data available"" (load not stated); the row records it as moulded, and the sheet's text claims 134°C HDT for this high-heat PLA.",V005792,PLA,colorFabb,PLA-HP,HDT,134,°C,55,10.7,9,Not applicable,moulded,R-COLORFABB-TDS-E-ColorFabb-PLA-HP-5210c3,p. 1: HDT °C,5210c315281e63b30071dbe6d80ac70eb8ab244218254f1e48ae89dcbeea752b,https://3d.nice-cdn.com/upload/file/TDS_E_ColorFabb_PLA-HP.pdf
real,"Prints ""Melt Flow Index GB/T 3682 39.6 g/10min"" (condition not stated); the sheet describes a PC blended with PET and PCTG, which flows far more than neat PC.",V006859,PC,eSUN,PC-HT,Melt mass-flow rate,39.6,g/10 min,8,10.7,13,Not applicable,unstated,S-PEBA-PC-HT-TDS,p. 1: Melt Flow Index GB/T 3682,50552879cca4e97a9da538a0624dc378c25a5f892d3fc1688270fad8bb53dd1c,https://3d.nice-cdn.com/upload/file/PC-HT-TDS.pdf
implausible,"Prints ""Elastic modulus X-Y ... MPa 1345.3"" with 34.8 MPa at 1.9% break: a modulus below the secant at break (≈1830 MPa) is not a tensile curve. Printed also unrecorded.",V004832,ASA,Eryone,Hyper-Speed ASA,Tensile modulus,1.3453,GPa,2.317,-10.6,7,XY,unstated,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--1d9fed,p. 2: Elastic modulus X-Y 50mm/min GB/T 1040.1-2006 MPa,1d9fed586d930d9af7ee1299c3096832410b71affe54260f0530564a354866c4,https://hub.globalso.com/b/file_manager_downLoad?path=/file_manage/3828/20250903/eryone-asa-hs-tds.pdf
real,"Prints ""Vicat Softening Temperature 150°C D 1525""; a textbook Vicat for polycarbonate (HDT 139/128 °C on the same sheet).",V002886,PC,Spectrum,PC 275,Vicat softening temperature,150,°C,119,10.5,10,Not applicable,unstated,S-SPECTRUM-en-tds-spectrum-pc-275,p. 1: Vicat Softening Temperature,74a9b3212b9b141668f3096937f7f4ec32cb2ee36e526391baa85be9bbfe45ee,https://spectrumfilaments.com/wp-content/uploads/2023/10/en_tds_spectrum_pc_275.pdf
wrong-condition,"Prints ""Young's modulus (X-Y) 8636.5 ± 211.4 MPa"" under ""DRY STATUS"" with ""*All specimens were annealed at 100°C for 16h""; value right, dry and annealed not recorded.",V006544,PA6-CF,Polymaker,FIBERON PA6 CF20,Tensile modulus,8.6365,GPa,4.3,10.4,3,XY,unstated,R-POLYMAKER-FIBERON-TDS-FIBERON-PA6-CF20-V1-1-EN,p. 1: Young’s modulus (X-Y),f065e0e27b44344da381f7edde481da7dd126b1b9d3da4ed0b5054862256b8b4,https://fiberon.polymaker.com/wp-content/uploads/TDS_FIBERON-PA6-CF20_V1.1_EN.pdf
real,"Prints ""Tensile Elongation, Break ISO 527 % 65"" on printed XY-flat specimens; credible for a ""Tough PLA"" (impact-modified) whose modulus (2272 MPa) stays PLA-like.",V003208,PLA,3DXTECH,ECOMAX Tough PLA,Elongation at break,65,%,11,10.4,11,XY,printed,X-ECOMAX-ECOMAX-Tough-PLA-TDS-v1,"p. 1: Tensile Elongation, Break ISO 527 %",57234e686be8dd59257761560e63b3ca10735105826d47a960426cd595d9cc5a,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/ECOMAX_Tough_PLA_TDS_v1.pdf?v=1723942767
real,"Prints ""Charpy Impact Strength (Unnotched) @ 23°C ISO 179 kJ/m² 45"" (notched 6.5); credible unnotched CF-PETG, compared here with notched values.",V010496,PETG-CF,Fiberlogy,PETG+CF,Charpy strength,45,kJ/m²,5.75,10.4,4,Not applicable,unstated,R-FIBERLOGY-FIBERLOGY-PETGCF-TDS,p. 1: Charpy Impact Strength (Unnotched) @ 23°C ISO 179 kJ/m2,221f045a5caef5a66d043a66ed8876281d765011ade6440cac99c25091241895,https://fiberlogy.com/app/uploads/2026/05/FIBERLOGY_PETGCF_TDS.pdf
