Batch,MeasurementID,SourceID,Property,Verdict,Note,By,Resolution
b11,V006293,R-COLORFABB-TDS-E-ColorFabb-PETG-Economy-0,Elongation at yield,disagrees: condition,"Value and standard are right, but Direction is ""Unstated"". The sheet states it for this table: p. 2 Notes, ""The reported properties are an average of a batch of 3D printed specimens. The specimens have been printed in XY plane, using 0.15mm layerheight, 100% infill, 0.4mm nozzle, 245 °C nozzle temperature and 70 °C bed temperature"". The row is from the p. 1 ""TYPICAL MATERIAL PROPERTIES - 3D Printed"" table, so that note is its condition; Specimen / print parameters is ""Not published"" too.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b11,V006295,R-COLORFABB-TDS-E-ColorFabb-PETG-Economy-0,Tensile strain at strength,disagrees: condition,"Value and standard are right, but Direction is ""Unstated"". The sheet states it for this table: p. 2 Notes, ""The reported properties are an average of a batch of 3D printed specimens. The specimens have been printed in XY plane, using 0.15mm layerheight, 100% infill, 0.4mm nozzle, 245 °C nozzle temperature and 70 °C bed temperature"". The row is from the p. 1 ""TYPICAL MATERIAL PROPERTIES - 3D Printed"" table, so that note is its condition; Specimen / print parameters is ""Not published"" too.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b11,V006480,R-POLYMAKER-FIBERON-TDS-FIBERON-ASA-CF08-V1-0-EN,Glass transition temperature,disagrees: standard,"Value 106.6 °C is right, but Standards and Standard / load read ""Not published"". The sheet prints the method in its TESTING METHOD column on the row itself: ""Glass transition temp. DSC, 10°C/min 106.6°C"". DSC is a value of the repo vocabulary (""where the source names the method but no standard"") and earlier Fiberon sheets record it (V001927, V002061, V002417); this batch dropped it on every Fiberon Tg and Tm row.",claude-second-read,corrected: the row now records DSC
b11,V006221,R-POLYMAKER-FIBERON-TDS-FIBERON-PET-GF15-v2-0-2026-02-02,Vicat softening temperature,disagrees: condition,"The row records Post-processing ""annealed"" / annealed, which the sheet does not say for this value. ""Vicat softening temp. ISO 306, GB/T 1633 232.6°C"" carries no condition marker. The only rows the sheet marks are the four HDT ones - ""Heat deflection temp. ISO 75 1.8MPa 87.3°C (annealed)"", ""0.45MPa 133.7°C (annealed)"", ""HDT 1.8MPa ... 71.8 (as printed)"", ""HDT 0.45MPa ... 81.6 (as printed)"". The ""(as printed)""/""(annealed)"" that landed on this row is the legend of the HDT CURVE in the left-hand column, which is why Standard / load reads ""annealed ISO 306 GB/T 1633"". (Note: this record is Data status ""Retired duplicate record""; the same mis-assignment is on V006218, V006219, V006221 of this document.)",claude-second-read,retired: Retired duplicate record
b11,V006296,R-COLORFABB-TDS-E-ColorFabb-PETG-Economy-0,Tensile break strength,disagrees: condition,"Value and standard are right, but Direction is ""Unstated"". The sheet states it for this table: p. 2 Notes, ""The reported properties are an average of a batch of 3D printed specimens. The specimens have been printed in XY plane, using 0.15mm layerheight, 100% infill, 0.4mm nozzle, 245 °C nozzle temperature and 70 °C bed temperature"". The row is from the p. 1 ""TYPICAL MATERIAL PROPERTIES - 3D Printed"" table, so that note is its condition; Specimen / print parameters is ""Not published"" too.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b11,V006401,R-POLYMAKER-FIBERON-TDS-FIBERON-PPS-CF10-V1-1-EN-1,Elongation at break,disagrees: condition,"Value 1.6 ± 0.2 % and Direction Z are right, but two things the sheet prints are missing. (1) The mechanical table carries the footnote ""*All specimens were annealed at 125°C for 16h.""; the row records Post-processing ""Not published"" / not-stated. (2) The sheet prints the method for the elongation pair, ""Elongation at break (X-Y) 1.4 ± 0.1% / ISO 527, GB/T 1040 / Elongation at break (Z) 1.6 ± 0.2%"", and Standards is ""Not published"". Every mechanical row of this document lost both (V006396-V006408); the same reader recorded ""ISO 527; GB/T 1040"" on other Fiberon sheets and ""annealed"" on 102 Fiberon rows.",claude-second-read,"corrected by m105, m129-annealing-the-sheet-states"
b11,V006376,R-POLYMAKER-FIBERON-TDS-FIBERON-PA12-CF10-V1-1-EN,Flexural strength,disagrees: condition,"Value 112.4 ± 1.0 MPa and Direction X-Y are right, but the row does not say which table it came from. The sheet prints two: ""MECHANICAL PROPERTIES - DRY STATUS"" (Bending strength (X-Y) 112.4 ± 1.0 MPa, with ""*All specimens were annealed at 100°C for 16h."") and ""MECHANICAL PROPERTIES - WET STATUS"" (Bending strength (X-Y) 91.8 ± 1.5 MPa). The row holds Moisture state not-stated and Post-processing state not-stated, so it says nothing that tells the two apart. Standards is ""Not published"" although the sheet prints ""ISO 178, GB/T 9341"" for the bending pair.",claude-second-read,"corrected by m105, m129-annealing-the-sheet-states"
b11,V006219,R-POLYMAKER-FIBERON-TDS-FIBERON-PET-GF15-v2-0-2026-02-02,Melting temperature,disagrees: condition,"The row records Post-processing ""annealed"" / annealed, which the sheet does not say for this value. ""Melting temperature DSC, 10°C/min 231.6°C"" carries no condition marker. The only rows the sheet marks are the four HDT ones - ""Heat deflection temp. ISO 75 1.8MPa 87.3°C (annealed)"", ""0.45MPa 133.7°C (annealed)"", ""HDT 1.8MPa ... 71.8 (as printed)"", ""HDT 0.45MPa ... 81.6 (as printed)"". The ""(as printed)""/""(annealed)"" that landed on this row is the legend of the HDT CURVE in the left-hand column, which is why Standard / load reads ""annealed"". (Note: this record is Data status ""Retired duplicate record""; the same mis-assignment is on V006218, V006219, V006221 of this document.)",claude-second-read,retired: Retired duplicate record
b11,V006522,R-COLORFABB-TDS-E-colorFabb-PLA-Chameleon,Tensile strain at strength,disagrees: condition,"Value and standard are right, but Direction is ""Unstated"". The sheet states it for this table: p. 2 Notes, ""The reported properties are an average of a batch of 3D printed specimens. The specimens have been printed in XY plane, using 0.15mm layerheight, 100% infill, 0.4mm nozzle, 210 °C nozzle temperature and 55 °C bed temperature"". The row is from the p. 1 ""TYPICAL MATERIAL PROPERTIES - 3D Printed"" table, so that note is its condition; Specimen / print parameters is ""Not published"" too.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b12,V006953,R-3D4MAKERS-TDS-PPSU-Filament,Impact strength,disagrees: value not on the sheet,"The value 399 is printed, but not as the property it is filed under. The sheet prints ""Tensile Impact Strength 3.18 mm ASTM D1822 399 kJ/m2"" - a tensile impact test, a different measurement from the notched-bar impact strengths that the repo's generic ""Impact strength"" property (kJ/m2) otherwise holds, which run about 2-50 kJ/m2. The same sheet prints the notched Izod separately (""Notched Izod Impact 3.18 mm ASTM D256 690 J/m""). As recorded, 399 kJ/m2 reads as an impact strength an order of magnitude above anything else in the table.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b12,V007159,R-3D4MAKERS-TDS-pps-cf-9938-bk-filament-en-iso,Tensile strain at strength,disagrees: condition,"Value 1,6 % and the standard are right, but Moisture state reads not-stated and the sheet prints the condition in its own Conditions cell on that row: ""Elongation at maximum force dry, @50 mm/min ISO 527 MPTS ISO 3167 A % 1,6"". The sheet distinguishes dry from its heading ""Mechanical properties at 23°C / 50% rh"", so which of the two this is matters. (The Specimen cell also reads ""MPTS ISO 3167 A"" - a multi-purpose injection-moulded test specimen - while Specimen type reads ""Not published (do not assume printed)"")",claude-second-read,corrected by m111
b12,V007459,R-3D-FUEL-TDS-3DFuel-Workday-ABS,HDT,disagrees: condition,"Value 86 °C is printed, but the standard, the load and the post-processing all are too, and none is recorded. The sheet prints ""Heat Deflection Temperature, 6.4mm (Unannealed) 18.6 kg 86°C (187°F) / 4.6 kg 90°C (194°F) - D648"", with footnote ""(1) ASTM Test Method unless otherwise noted."" Standards reads ""Not published"" (ASTM D648 is in the repo vocabulary), Test load MPa reads ""Not published"" although 18.6 kg is the 1.82 MPa load and is the only thing that tells 86 °C from 90 °C, and Post-processing reads ""Not published"" although the sheet says ""(Unannealed)"". The sheet also states ""All properties, except melt flow rate are measured on injection molded specimens"", while Specimen type reads ""Not published (do not assume printed)"".",claude-second-read,corrected by m105
b12,V006924,D-RAISE3D-Raise3D-Industrial-PET-GF-TDS-V1,Tensile modulus,disagrees: condition,"Value 3322 ± 94 MPa, Direction Z and ISO 527 are right, but the annealing is missing. The sheet's note under the mechanical table reads ""All testing specimens were printed under the following conditions: Nozzle temp 320℃, Bed temp 80℃, Print speed 45mm/s, Infill 100%, Infill angle ±45°. All specimens were annealed at 100˚C for 8h."" The row holds Post-processing ""Not published"" / not-stated with Anneal °C and Anneal h ""Not applicable"", and Specimen type ""Not published (do not assume printed)"". An annealed PET-GF modulus is not the as-printed one.",claude-second-read,corrected by m129-annealing-the-sheet-states
b12,V006708,R-3D4MAKERS-TDS-ABS-Kevlar-filament-3D4Makers-V1,Density,disagrees: number,"The document gives two different densities for this product and the row takes the one the prose assigns to a different material. The table reads ""Density 1.05g/cm³ ISO1183"", but the description above it reads ""ABSKEVLAR density is 1.037 g/cm³ compared to 1,05 g/cm3 for our regular ABS."" On the sheet's own account 1.05 g/cm3 is the regular ABS figure and 1.037 is this product's. The record states 1.05 as this grade's density with nothing saying the sheet contradicts itself.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b12,V006983,S-PEBA-PLA-HS-TDS,Izod impact strength,disagrees: condition,"Value 2.41 KJ/m2 and Direction Z are right, but Notch reads ""Unnotched"" and the sheet does not say so: ""IZOD Impact Strength (Z) GB/T 1843 2.41KJ/m2"" names the standard and nothing about a notch. 2.41 KJ/m2 is a notched-range figure for a PLA. The same mis-assertion is on the other eSUN sheets in this read (V007977).",claude-second-read,"corrected by m119-a-notch-is-what-the-row-says, m128-specimens-the-sheet-states"
b12,V006920,R-3D4MAKERS-TDS-LUVOCOM-3F-PEI-50236-GY-Filament-3D-printing,Surface resistivity,disagrees: number,"The number is wrong by eleven orders of magnitude. The sheet prints ""Surface resistance ROB DIN IEC 60093 Ronde 60x4mm Ω >10¹²""; the row records Raw value ""10 Ω"", Raw numeric 10 and Normalized ""10 Ω"". The superscript 12 was dropped and the base became the value. The sheet's companion row, ""Insulation resistance ... >10¹²"", carries the same exponent. A surface resistance of 10 ohms would make this unreinforced PEI a conductor.",claude-second-read,corrected by m104
b12,V007453,R-3D-FUEL-TDS-3DFuel-Workday-ABS,Tensile strength (endpoint unspecified),disagrees: condition,"Value 520 kg/cm2 -> 50.99 MPa and ASTM D638 are right, but Specimen type reads ""Not published (do not assume printed)"" and the sheet says what the specimens are: ""All properties, except melt flow rate are measured on injection molded specimens and after 48 hours storage at 23°C, 50% relative humidity."" On this sheet it is a moulded value, and the conditioning it names is not recorded either.",claude-second-read,corrected by m127-the-sweep-values-and-properties
b12,V007102,D-RAISE3D-P-filament-721-Technical-Data-Sheet-eng-04-20-2021,Melt volume-flow rate,disagrees: condition,"Value 25.7 cm3/10 min and ISO 1133 are right, but the melt-flow condition is gone. The sheet footnotes the row: ""Melt Volume Rate1 25.7 cm3/10 min ISO 1133 ... 1 Test conditions: T = 210 °C; m = 5.0 kg"". Standard / load holds only the stray ""1 ISO 1133"" and Test temperature reads ""Not published"". An MVR without its temperature and load is not comparable.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b12,V007009,D-RAISE3D-Raise3D-Industrial-PA12-CF-TDS-V3-0-76400e,Elongation at break,disagrees: condition,"Value 2.2 ± 0.4 %, Direction Z and ISO 527 are right, but both conditions the sheet prints are missing. The table this row comes from is preceded by ""All specimens were annealed at 80 °C for 12h, and immerged in ambient temperature for 3 days prior to testing."" The row holds Moisture state not-stated and Post-processing ""Not published"" / not-stated, with Anneal °C and Anneal h ""Not applicable"". The sibling V3.0 sheet of this product prints a ""Dry state"" table and a ""Conditioned"" one side by side, so the distinction is real for this material.",claude-second-read,corrected by m129-annealing-the-sheet-states
b12,V007442,R-3D4MAKERS-LUVOCOM-3F-PAHT-CF-9742-BK-EN-TDS,Impact strength,disagrees: standard,"Value 47 kJ/m2 is right, but everything the sheet says about the test is gone. It prints ""Impact strength dry ISO 179 1eU 80x10x4mm kJ/m² 47"". Standards and Standard / load read ""Not published"" although ISO 179 is in the repo vocabulary; Notch reads ""Not published"" although 1eU is the unnotched Charpy geometry; and Moisture state is not-stated although the Conditions cell says ""dry"". An unnotched 47 kJ/m2 and a notched one are not comparable numbers.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b12,V006915,R-3D4MAKERS-TDS-LUVOCOM-3F-PEI-50236-GY-Filament-3D-printing,Tensile strain at strength,disagrees: condition,"Value 4,5 % and the standard are right, but Moisture state reads not-stated and the sheet prints the condition in its own Conditions cell on that row: ""Elongation at maximum force dry, @50 mm/min ISO 527 MPTS ISO 3167 A % 4,5"". The sheet distinguishes dry from its heading ""Mechanical properties at 23°C / 50% rh"", so which of the two this is matters. (The Specimen cell also reads ""MPTS ISO 3167 A"" - a multi-purpose injection-moulded test specimen - while Specimen type reads ""Not published (do not assume printed)"")",claude-second-read,corrected by m111
b12,V007098,S-PEBA-ABS-TDS-EN-docx,HDT,disagrees: condition,"Value 86.3 ℃, Direction Z and GB/T 1634 are right, but Test load MPa reads ""Not published"" and the sheet prints it on the row: ""Heat Distortion Temperature (Z) GB/T 1634 86.3 ℃ (0.45MPa)"". The sheet gives three HDT figures at that load (78.9, 89, 86.3), so the load is part of what the row means.",claude-second-read,"corrected by m111, m128-specimens-the-sheet-states"
b12,V006982,S-PEBA-PLA-HS-TDS,Izod impact strength,disagrees: condition,"Value 5.6 KJ/m2 and Direction X-Y are right, but Notch reads ""Unnotched"" and the sheet does not say so: ""IZOD Impact Strength (X-Y) GB/T 1843 5.6KJ/m2"" names the standard and nothing about a notch. 5.6 KJ/m2 is a notched-range figure for a PLA. The same mis-assertion is on the other eSUN sheets in this read (V007977).",claude-second-read,"corrected by m119-a-notch-is-what-the-row-says, m128-specimens-the-sheet-states"
b12,V007346,R-3D4MAKERS-TDS-ABS-Filament,Mould shrinkage,disagrees: number,"The sheet publishes a range and the row records one end of it as the value. It prints ""Molding Shrinkage-Flow ISO 294-4 0.40 to 0.70 %""; the row holds Raw value ""0.70 %"", Raw numeric 0.7 and Raw upper bound ""Not applicable"", and the lower end survives only as the fragment ""0.40 to"" inside Standard / load. The repo carries such ranges elsewhere (V007082 ""0.4-0.6 %"" -> 0.4 with upper 0.6).",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b14,V007699,R-BASF-ExtendedTDS-Ultrafuse-PET-CF15-V1-4,Vicat softening temperature,disagrees: condition,"Value and standard are right, but Specimen type is ""Not published (do not assume printed)"" and the sheet says what the specimens are, in the disclaimer column of the page the Locator names: ""Values in this document are average values, measured and calculated according to the instructions in the listed standards. The used specimens are produced with the Fused Filament Fabrication method."" 42 of the 93 BASF rows in the table are ""Printed specimen"" and 45 are not, on sheets that all carry this sentence.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b14,V007833,B-PC-Bambu-PC-Technical-Data-Sheet,Melting temperature,disagrees: standard,"Value 228 °C is right, but Standards and Standard / load read ""Not published"". The sheet names the method in its Testing Methods column on the row itself: ""Melting Temperature DSC, 10 °C/min 228 °C"". DSC is a value of the repo vocabulary (""Differential scanning calorimetry, where the source names the method but no standard"") and 72 melting-temperature rows in the table carry it.",claude-second-read,corrected: the row now records DSC
b14,V007701,R-BASF-ExtendedTDS-Ultrafuse-PET-CF15-V1-4,Glass transition temperature,disagrees: condition,"Value and standard are right, but Specimen type is ""Not published (do not assume printed)"" and the sheet says what the specimens are, in the disclaimer column of the page the Locator names: ""Values in this document are average values, measured and calculated according to the instructions in the listed standards. The used specimens are produced with the Fused Filament Fabrication method."" 42 of the 93 BASF rows in the table are ""Printed specimen"" and 45 are not, on sheets that all carry this sentence.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b14,V007631,R-BASF-ExtendedTDS-Ultrafuse-PAHT-CF15-V1-5,Flexural elongation at break,disagrees: condition,"The value 2.4 % is printed, but neither condition is recorded and the sheet prints both. The Flexural Properties table on p. 6 has the column heading ""XY- XZ- ZX- Direction Direction Direction"" and two rows: ""Flexural Elongation at Break conditioned ISO 178 No break 3.6 % 4.0 %"" and ""Flexural Elongation at Break dry ISO 178 2.4 % 2.8 % 1.8 %"". 2.4 % is the dry, XY-direction value; the row holds Direction ""Unstated"" and Moisture state not-stated. The same reader took the dry/conditioned split correctly on the flexural modulus rows just above (V007628 conditioned, V007629 dry). The row's own Parse review says the sheet ""names no column"", which it does.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b14,V007640,R-BASF-ExtendedTDS-Ultrafuse-PAHT-CF15-V1-5,Melt volume-flow rate,disagrees: condition,"Value 42.2 cm3/10 min and ISO 1133 are right, but the melt-flow condition is gone. The sheet prints ""Melt Volume-Flow Rate (MVR) ISO 1133 42.2 cm3/10 min (275 °C, 5 kg)""; Standard / load holds only ""ISO 1133"" and Test temperature is ""Not published"". An MVR without its temperature and load is not comparable; the same batch kept it on the Bambu sheet (V007738, ""210 °C 2.16 kg"", Test temperature 210°C). The sheet also says ""The used specimens are produced with the Fused Filament Fabrication method."" while Specimen type is ""Not published (do not assume printed)"".",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b14,V007638,R-BASF-ExtendedTDS-Ultrafuse-PAHT-CF15-V1-5,Crystallization temperature,disagrees: condition,"Value and standard are right, but Specimen type is ""Not published (do not assume printed)"" and the sheet says what the specimens are, in the disclaimer column of the page the Locator names: ""Values in this document are average values, measured and calculated according to the instructions in the listed standards. The used specimens are produced with the Fused Filament Fabrication method."" 42 of the 93 BASF rows in the table are ""Printed specimen"" and 45 are not, on sheets that all carry this sentence.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b14,V007775,R-FILLAMENTUM-TDS-OBC-905-EN-07102022-FI,Vicat softening temperature,disagrees: value not on the sheet,"The sheet does not publish a Vicat softening temperature for this product. It prints ""Vicat softening temperature - ISO 306"" - a dash - and the 100 °C the row holds is a different row of the same column, ""Temperature resistance 100 °C"", which is the maker's own service-temperature claim and names no standard. The row's own Locator shows the join: ""p. 1: Vicat softening temperature - ISO 306 Temperature resistance Chemical properties Typical Value"". This is a measurement of a property the document does not report.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b14,V007605,S-PET-TDS-Volcano-PLA-150C,Melting temperature,disagrees: standard,"Value 170 °C is right, but Standards and Standard / load read ""Not published"". The sheet names the method in its Testing Methods column on the row itself: ""Melting point 170 °C DSC"". DSC is a value of the repo vocabulary (""Differential scanning calorimetry, where the source names the method but no standard"") and 72 melting-temperature rows in the table carry it.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b14,V007630,R-BASF-ExtendedTDS-Ultrafuse-PAHT-CF15-V1-5,Flexural elongation at break,disagrees: condition,"The value 3.6 % is printed, but it is not the value this row implies. The Flexural Properties table on p. 6 has the column heading ""XY- XZ- ZX- Direction Direction Direction""; the conditioned row is ""Flexural Elongation at Break conditioned ISO 178 No break 3.6 % 4.0 %"", so 3.6 % is the XZ-direction, conditioned value (the XY entry is ""No break""). The row holds Direction ""Unstated"" and Moisture state not-stated, and its Locator ends ""...ISO 178 No break"", which is the XY cell. Its Parse review says the sheet ""names no column"", which it does.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b14,V007668,S-PET-TDS-Matt-PLA,Melt mass-flow rate,disagrees: condition,"Value 14 g/10min and ISO 1133 are right, but the melt-flow condition is gone. The sheet prints ""Melt flow rate 14 g/10min ISO 1133 210° C/2,16Kg"" - its Test condition column. Standard / load holds only ""ISO 1133"" and Test temperature is ""Not published"".",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b15,V007977,S-PEBA-eSUN-PETG-Filament-TDS-V4-0,Izod impact strength,disagrees: standard,"Value 4.7 kJ/m2 is right, but two things. (1) Standards reads ""Not published"" although the sheet names the method: ""IZOD Impact Strength GB/T 1843 4.7 kJ/m2"" - GB/T 1843 (""Izod impact strength"") is in the repo vocabulary. (2) Notch reads ""Unnotched""; the sheet says only ""IZOD Impact Strength"" and names no notch, so the row asserts a condition the document does not print (the same reader used ""Not published"" for an unqualified impact strength at V007719). The sheet also says what the specimens are, on p. 2: ""The physical properties, mechanical properties, thermal properties, and electrical properties of the line are obtained based on the injection molding spline test."" Specimen type is ""Not published (do not assume printed)""; on this sheet it is a moulded value.",claude-second-read,corrected: the row now records GB/T 1843
b15,V007988,S-PCGF-ABS-TDS-Siddament,Water absorption,disagrees: condition,"Value 0.4 % and ISO 62 are right, but the printed test condition is gone. The sheet's label is ""Water Absorption (23°C/24h) ISO 62 % <0.4"" - the (23°C/24h) sits on the line below the property name - and Standard / load holds only ""ISO 62"" with Test temperature ""Not published"". A 24-hour ISO 62 figure and a saturation ISO 62 figure are different numbers; nothing in the row now says which this is. The repo carries the same label elsewhere (V006281, Standard / load ""23℃/24h ISO 62"", Test temperature 23°C).",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b15,V007913,S-PEBA-PETG-CF-TDS-V1-2024-07-02,Flexural strength,disagrees: condition,"Value 80.34 MPa and GB/T 9341 are right, but the specimen. The sheet also says what the specimens are, on p. 2: ""The physical properties, mechanical properties, thermal properties, and electrical properties of the filament are obtained based on the injection molding spline test."" Specimen type is ""Not published (do not assume printed)""; on this sheet it is a moulded value.",claude-second-read,corrected by m128-specimens-the-sheet-states
b15,V007878,S-PCGF-PLA-TDS-Siddament,Water absorption,disagrees: condition,"Value 0.3 % and ISO 62 are right, but the printed test condition is gone. The sheet's label is ""Water Absorption (23°C/24h) ISO 62 % <0.3"" - the (23°C/24h) sits on the line below the property name - and Standard / load holds only ""ISO 62"" with Test temperature ""Not published"". A 24-hour ISO 62 figure and a saturation ISO 62 figure are different numbers; nothing in the row now says which this is. The repo carries the same label elsewhere (V006281, Standard / load ""23℃/24h ISO 62"", Test temperature 23°C).",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b15,V007978,S-PEBA-eSUN-PETG-Filament-TDS-V4-0,HDT,disagrees: standard,"Value 64 C is right, but Standards and Standard / load both read ""Not published"" although the sheet names the method on the row: ""Heat distortion Temperature GB/T 1634 64 C"" (the designation sits on the continuation line). GB/T 1634 (""Temperature of deflection under load"") is in the repo vocabulary. The sheet also says what the specimens are, on p. 2: ""The physical properties, mechanical properties, thermal properties, and electrical properties of the line are obtained based on the injection molding spline test."" Specimen type is ""Not published (do not assume printed)""; on this sheet it is a moulded value.",claude-second-read,corrected: the row now records GB/T 1634
b15,V007862,S-PCGF-PA-TDS-Siddament,Water absorption,disagrees: condition,"Value 0.5 % and ISO 62 are right, but the printed test condition is gone. The sheet's label is ""Water Absorption (23°C/24h) ISO 62 % <0.5"" - the (23°C/24h) sits on the line below the property name - and Standard / load holds only ""ISO 62"" with Test temperature ""Not published"". A 24-hour ISO 62 figure and a saturation ISO 62 figure are different numbers; nothing in the row now says which this is. The repo carries the same label elsewhere (V006281, Standard / load ""23℃/24h ISO 62"", Test temperature 23°C).",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b15,V007894,S-PCGF-TPU-95A-TDS-Siddament,Water absorption,disagrees: condition,"Value 0.4 % and ISO 62 are right, but the printed test condition is gone. The sheet's label is ""Water Absorption (23°C/24h) ISO 62 % <0.4"" - the (23°C/24h) sits on the line below the property name - and Standard / load holds only ""ISO 62"" with Test temperature ""Not published"". A 24-hour ISO 62 figure and a saturation ISO 62 figure are different numbers; nothing in the row now says which this is. The repo carries the same label elsewhere (V006281, Standard / load ""23℃/24h ISO 62"", Test temperature 23°C).",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b16,V008111,R-QIDI-TPU95A-HF,Tensile break strength,disagrees: standard,"Value 31.81 ± 3.26 MPa and Direction X-Y are right, but Standards and Standard / load read ""Not published"". QIDI prints the Testing-method column as one merged cell spanning a block of rows, and the sheet names ISO 527 for this block: ""拉伸断裂强度 (X-Y) Tensile breaking strength 31.81±3.26 MPa / 断裂伸长率 100% (X-Y) 471±81 % / 100%定伸应力 (X-Y) ISO 527 9.75±0.16 MPa / 200%定伸应力 (X-Y) 12.2±0.27 MPa"". Extraction puts the designation on the single line whose position it matched, which is why some rows of the same block carry it and some do not - on this very sheet only the 100% row kept it. The sheet does name a standard for this row.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
