ID,Workstream,Class,Severity,Title,Status,Commits,Resolution,Evidence,Repro
B-18,B-physics,note,low,"Headlines resting on specimen-not-stated values while printed, dry values exist for the same material",fixed,2044c94 6cc6074,PC-GF from BASF printed data; PA6-GF and PPS-CF resolved by m20,"M038 PC-GF headline tensile strength 40 MPa (V000740) and elongation 9.5 % (V000742), S-PCGF-TDS-1 p. 1 (re-read: ""9.5 +/- 1.5 %""), while BASF Ultrafuse PC GF30 printed XY gives 36.1 MPa (V001835) and 2.4 % (V001837); 9.5 % for glass-filled PC exceeds the unfilled PC headline 3.8 % (V000689). M051 PA6-GF modulus 2.85 GPa (V000951; Bambu, printed per B-06) vs printed 4.261 (V001165) and 4.431 (V001179). M073 PPS-CF strength 87 MPa (V001363) vs printed 63 (V001862). M021 PETG Basic V000431 2.78 GPa XY and V000432 2.55 GPa Z (re-read, faithful) sit above PETG's 1.1-2.6 GPa and fail Strict ""<= 2.7 GPa"".","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check B2-headline-condition-better-exists, C2-ordering-data (M038 elongation)"
B-19,B-physics,note,low,Screens narrower than physics allows for thinly evidenced identities,open,,Thin identities screen on family-driven ranges (PP elongation 14-113 % against its own unstated 460 %),"Certified screen ranges cover a small part of the physical envelope where own evidence is thin: M052 PA12 elongation screen 3.72-47.1 % (ownShare 0.14; printed PA12 XY reaches >100 %), M049 PA6 9.53-84.4 %, M055 PA66 elongation 7.31-40.5 % and hdt045 57.7-190 °C, M058 PA612 7.6-33.6 %, M056 PA66-CF 2.8-16.1 % (no own evidence), M091 CoPE 3.33-59.2 %. The back-test certifies classes on average over measured headlines; it cannot see identities with no measured analogue, so these screens rest on the family prior. No estimate screened out a material whose envelope wholly meets a requirement (D3 estimate rows: 0).","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C9-screen-range-narrow-vs-physics, D3-removed-though-envelope-passes"
B-20,B-physics,note,low,Envelope sweep summary (non-circular leak check),note,,Sweep summary; re-run after fixes in physics-findings-after.csv,"2240 selections over thresholds at every envelope edge: Strict PASS although the envelope wholly fails: 15 (material, key, operator) cases, all measured headlines explained by B-05, B-06, B-09, B-10, B-11, B-12, B-18 (PLA HDT 80, PETG Basic 2.78 GPa, ABS-CF HDT 76 (V000594, below ABS itself), TPU for AMS 1.19 GPa, PA6 1250, PET-CF 205 °C, PPS-CF 264 °C, PPS-GF 241 °C, filled densities). Explore+estimates kept although the envelope wholly fails: 73, of which 18 medium: estimate tails beyond physics (M085 PE modulus >= 8.26 GPa, M086 OBC modulus >= 2.7 GPa, M076 BVOH HDT >= 155, M066 PET HDT >= 130, M049 PA6 strength >= 120, M052 PA12 strength >= 96.9) and vetoes (B-01, B-02). Kept by policy (no estimate / one-sided bound): 5. Removed although the envelope wholly meets the requirement: 25, all measured headlines or support-product N/A (PVA), none by an estimate.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check D1-*, D2-strict-pass-envelope-fails, D3-removed-though-envelope-passes"
C-01,C-pipeline,defect,High,Estimates average as-printed and annealed values of one formulation as repeats,fixed,c50a00e,Post-processing states; m19,"build/src/estimates.js:201-231 kindOf ignores postProcessing; estimates.js:264 groups by material|formulation|kind and averages ys. G019-01 PLA-GF HDT 0.45: V000350 75.5 (headline) + V000353 114.7 annealed -> one observation 95.1; HDT 1.8 V000349 59.7 + V000352 84 -> 71.85. G068-02 PET-GF HDT 0.45: V001931 81.6 (headline) + V001933 133.7 -> 107.65; HDT 1.8 V001930/V001932. G074-02 PPS-GF: anneal 130 vs 230 C V002071 236.3/V002072 248.9 and V001392 125.8/V002073 219.6 -> 172.7. Consequences in build/reports/validation-report.md: EST-OUTLIER PET-GF hdt045 81.6 expected about 114; conflicts down-weighted for PLA-GF, PET-GF, PPS-GF; the mixed pairs also feed the HDT 1.8->0.45 conversion and the unstated-load bracket back-test (estimates.js:316-320, 648-662). M019 mechanical P/A rows are averaged too (small differences).",node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/anneal-groups.mjs
C-02,C-pipeline,defect,High,Film specimen values veto estimate screens: PLA stays a candidate for tensile strength >= 140 MPa,fixed,c50a00e,Film/filament excluded from bounds,"build/src/compile.js:402-411 impliedBounds excludes only Raw material specimens; app/js/engine/constraints.js:107 lets any bound meeting the requirement veto the screen. M001 PLA tensileStrengthXY bounds include V000039 110.3 MPa and V002179 144.7 MPa, both ""Film specimen (ASTM D882)"" (estimates.js:176 already excludes film from the model). Engine result: >=70, >=100 and >=140 MPa are not screened (vetoedBy V000039/V002179) although the estimate is 46.9-67.8 MPa plausible. Also V001700 PVB Filament specimen tensile yield bounds M093. No moisture or post-processing filter: a conditioned PA elongation (V001039 216.5 vs dry 9.9) or an annealed HDT at 1.8 MPa (V001932 87.3 vs as-printed 0.45 MPa 81.6) would bound a dry or as-printed headline from below. The same film rows appear in related.intervals (compile.js:456) and get no film reason in related.why (compile.js:428-435).",node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/engine-veto.mjs && node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/implied-bounds.mjs
C-03,C-pipeline,policy,Medium,Estimates merge source-label and XZ directions into XY that compile refuses to call XY,fixed,c50a00e,Source labels are unknown direction,"build/src/estimates.js:194 DIRECTION_CLASS maps XZ, horizontal-source-label and along-flow to XY (no conversion, no extra spread) and vertical-xz-source-label to Z; build/src/normalize/direction.js:1-3 and Method say a source label ""never merges into XY"". M093 PVB tensileModulusXY is not published (compile keeps V001705 ""Horizontal (source label)"" out), yet its estimate is strength this-grade, precision good, centre 1.76 GPa, canScreen true, built from V001705/V001706. Plain XZ (on-edge, loaded in plane) is XY-like, but ""Vertical XZ (source label)"" is sent to Z: the two XZ spellings get opposite classes.","node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/mapper.mjs (see Direction rows in mapper-table.csv); node -e ""const db=require('./dist/db.json');console.log(db.materials.find(m=>m.id==='M093').headline.tensileModulusXY.estimate.evidence)"""
C-04,C-pipeline,policy,Medium,A published mean with a +/- band never passes: 128 of 362 headlines are hard intervals in the engine,fixed,6518292,Owner ruling D54: judged on the mean,"build/src/normalize/values.js:74-76 turns value +/- uncertainty into {lo,hi,kind:uncertainty}; app/js/engine/constraints.js:43-70 and 140-147 compare lo/hi as hard bounds. M002 PLA Basic tensileStrengthXY 35 +/- 4 MPa is INDETERMINATE for >=33 (mean above threshold) and for >=36. 128 headlines carry an uncertainty interval (Bambu, Polymaker, Fiberlogy sheets), mostly a specimen standard deviation, not a tolerance. The estimate model reads the same half-width as observation noise (estimates.js:281), and impliedBounds reads its top as a bound (compile.js:410, e.g. V002012 30 +/- 23 % becomes 53 %). One number, three meanings.",node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/engine-veto.mjs
C-05,C-pipeline,defect,Medium,"Headline selection is not checked for moisture, specimen, post-processing or load",fixed,c50a00e,"Headline check refuses moulded, film, filament, conditioned, annealed-beside-as-printed","build/src/compile.js:295-302 HEADLINE-SELECTION-INVALID checks material, grade, property, unit and direction only. validate.js:219-226 backstops the load (HDT-LOAD-WRONG) and test/database.test.js:468 the moulded case, but nothing refuses a conditioned (moistureState conditioned), film, filament or annealed-when-as-printed-exists selection. Today every headline passes these checks (repro prints only annealed Bambu boilerplate, 6 unstated loads and >-operator bounds), so this is latent; AGENTS.md ""Make a measurement a headline"" relies on the build to say which rule fails.",node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/headlines.mjs
C-06,C-pipeline,defect,Low,"Direction ""45/45"" is a vocabulary value with no mapping and falls through to unknown silently",fixed,2ac1cd2,raster-45,"schema/vocab/directions.csv:2 lists 45/45; build/src/normalize/direction.js:17-27 MAP has no entry, so normalizeDirection returns {canonical: unknown, mapped: false} and nothing reads mapped. Six rows V001863 V001866 V001869 V001872 V001875 V001878 (M073 PPS-CF, R-ESSENTIUM-PPSCF-TDS) are compiled as unknown and the drawer note (compile.js:380) says ""direction not stated by the source"", which is false.",node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/directions.mjs
C-07,C-pipeline,defect,Low,"19 mechanical rows use Direction ""Not applicable"", which the no-direction lint does not see",fixed,6cc6074,"m20: 14 directions after re-read; V002085 moulded, left","build/src/lint-rules.js:96 flags only Direction ""Not published""; vocab says Not applicable is for density and thermal transitions. Rows: V002078 V002085 V002170 V002171 V002172 V002173 V002179 V002180 V002181 V002182 V002183 V002190 V002191 V002203 V002204 V002207 V002219 V002220 V002221 (migrations m11 and m16). V002203, V002204 and V002207 locators read ""(X-Y)"", so they are probably XY. V001994 Notes still says the flexural rows ""were not entered"", but m16 added them as V002203-V002206.",node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/directions.mjs
C-08,C-pipeline,defect,Low,"HDT load parser: both loads resolve to 0.45 silently, psi and kgf/cm2 are ignored, ISO 75 Af/Bf unread",fixed,2ac1cd2,psi and kgf/cm² loads; both loads state neither,"build/src/normalize/thermal.js:19-22 and 37-39: the first matching class wins, so ""ASTM D648 1.8MPa/0.45MPa"" and ""ISO 75, 1.8 & 0.45 MPa"" read as 0.45; ""ASTM D648, 264 psi"", ""66 psi"" and ""18.6 kg/cm2"" read as load not stated; ""ISO 75-2/Af"" and ""Bf"" (flatwise) are not recognised; the unit-less pattern matches inside ""ISO 10.45"". No current row is wrong: all 195 HDT rows have Test load MPa equal to the parser reading (mapper-table.csv). V002188/V002189 print ""ISO 75: Method A (0.45 MPa)"" and ""Method B (1.80 MPa)"" with the letters inverted; the number wins, values are Not published. Because PARSE-MISMATCH compares the typed value with this parser, a wrong parse and a scaffolded typed value would agree.",node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/parser-cases.mjs && node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/hdt.mjs
C-09,C-pipeline,suspect,Low,"Estimate calibration is mildly optimistic: spreads, conversions and conflict weights see the hidden headline",open,,"Hyperparameters fitted with the hidden headline; calibration mildly optimistic, documented","build/src/estimates.js:571-592 fits conversions (pairs include each headline), the between-product spread fixedW, the empirical-Bayes hyperparameters and the 3.5-sigma conflict down-weighting on all observations; calibration (596-606) and the screening back-test (668-690) then hide only the headline observations by a GP downdate. The downdate itself is exact and the hide set is right for current data: every value headline has kind equal to HEAD (no conditioned, moulded or non-ultimate headline), and no formulation is duplicated across materials (checked by sourceId/property/value). Determinism: no Math.random, Date or unordered iteration in estimates/compile.","grep -n ""const conv = conversions\|hyperparameters(key\|Calibration: hide"" build/src/estimates.js"
C-10,C-pipeline,policy,Medium,"Record-level estimate findings are warnings, so a new one never fails verify",fixed,2ac1cd2,Per-record review in audit:data,"build/src/rules.js EST-OUTLIER, EST-WIDE, EST-FAMILY-ORDER and HDT-LOAD-UNSTATED are warn; validate.js:228,294,304,319 aggregate them into one message each. AGENTS.md requires a lint finding to be fixed or accepted with a reason; these per-record findings bypass that, so a fifth outlier or a seventh unstated load reaches dist with no review. Of the 8 current warnings: IMPACT-UNITS (informational, correct), HDT-LOAD-UNSTATED (6: M004 M097 M098 M099 M100 M102, should be per-record accepted findings), EST-SUMMARY and FAMILY-ENTRIES (informational, not warnings), EST-OUTLIER (4: PET-GF is an artefact of C-01; OBC V001683, PPA-CF V001310, PC-ABS V001550 need review), EST-WIDE (14, acceptable with reasons), EST-FAMILY-ORDER (PLA-CF 2.79 < PLA 2.865: different manufacturers, accept), NO-MEASUREMENTS (PA66-CF, PA612-GF, informational).","sed -n ""/## Warnings/,$p"" build/reports/validation-report.md"
C-11,C-pipeline,note,Low,"Rules catalogue and code agree, but compile raises issues without the catalogue check",note,,,"All 87 codes in docs/RULES.md are raised somewhere in build/src or scripts, and issue() (rules.js) throws on an unknown code. compile.js:47, 123, 270-304, 530-540, 578, 607 and typed-values.js:71, 100 push literal {level, code} objects instead of issue(), so a level or code drift there is not caught by the catalogue.","grep -n ""issues.push({ level"" build/src/compile.js build/src/typed-values.js"
C-12,C-pipeline,defect,Low,MEAS-RAW-RECONCILE checks the value but not the upper bound or uncertainty,fixed,2ac1cd2,Upper bound and uncertainty reconciled,"build/src/measurement-rules.js:36-56 reconciles Raw numeric x Conversion factor with Normalized value only. Raw upper bound and Raw uncertainty are converted by hand (e.g. V002204 3368 MPa -> 3.368 GPa, V000380 2600 -> 2.6). All 1917 published rows agree today, so nothing is wrong yet; a unit slip in a bound would change intervals, estimates noise and engine verdicts without an error.",node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/units.mjs
C-13,C-pipeline,note,Low,Units convert correctly; some properties pool conditions that no column carries,note,,,"All raw->normalized unit combinations are physically right (kgf/cm2 x0.0980665 MPa V000730; kgf.cm/cm x9.80665 J/m V002084; g/cc x1000; ppm/K = um/m/K V001748); Specific gravity x1000 (V002176) is 0.25% high strictly (water 0.9975 at 23 C). J/m and kJ/m2 stay unconverted (IMPACT-UNITS). Not headline or estimate inputs today, but pooled without condition columns: Melt mass-flow rate at 12 temperature/load pairs (190 C 2.16 kg to 365 C 5 kg) in Standard / load text only; Water absorption mixes 24 h immersion, equilibrium and 25 C 55% RH; Charpy and Izod mix notched, unnotched and Not published notch.",node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/units.mjs
C-14,C-pipeline,note,Low,"Contract: fields written but never read, and headline entries omit post-processing",fixed,c50a00e,related.intervals removed; headlines carry post-processing,"repro/contract.mjs lists db.json keys not mentioned in app/js, among them estimate.screenBasis, estimate.bounds[].side and .sd, related.intervals, materials.measurementConditions, measurements.directionText and grades.formulationKey. related.intervals is written with a comment (compile.js:449-452) saying it stops an estimate screening a material its own measurements could keep; the engine uses impliedBounds instead, so the comment describes a guarantee the field no longer gives. Headline entries (compile.js:309-322) carry direction, specimenType and moisture but not postProcessing, so the table and export cannot show that 119 headlines rest on Bambu Lab sheets worded ""annealed and dried at 55-80 C"" (133 mention annealing in all) or that the PET-GF HDT headline is as printed while its mechanical headlines are annealed at 120 C. No field is read but never written; loadBracket, impliedBounds, canScreen and screenRange are written and read with matching meaning.",node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/contract.mjs
C-15,C-pipeline,suspect,Low,Moisture condition disagrees with Post-processing on three rows; three rows are dry under a 50% RH heading,resolved,6cc6074,Re-read by D: labels correct or recoded,"V002155 V002156 V002159: Moisture condition Not published while Post-processing says ""dried for 48h prior to testing""; their siblings from the same sheets use ""Dried before testing (see preparation)"". V000894 V000920 V002078 use ""Dry (source row); table heading 50% RH"", declared dry in schema/vocab/moisture-conditions.csv.",node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/mapper.mjs (Moisture condition rows in mapper-table.csv)
C-16,C-pipeline,suspect,Low,Specimen and standard oddities on impact and tensile rows,fixed,fd58bb3 c50a00e,V002055 source error noted; V001700 filament excluded,"V002055 PP ""Notched Izod Impact Strength"" cites ""IS O 179"" (the Charpy standard); V001953 CPE Izod qualitative ""no break"" carries unit J/m; V001700 PVB tensile yield is a Filament specimen and enters the estimate model as a printed-part observation (estimates.js:175-176 excludes Film only); V002207/V002208 Izod ranges from one Flashforge sheet.",node docs/audits/2026-09-15-filtering-estimates-data/pipeline/repro/implied-bounds.mjs
C-17,C-pipeline,note,Medium,Open item: merging Izod strength into Izod impact strength needs a replaced-property record,fixed,fd58bb3,Replaced-property record; m22,"21 rows use ""Izod strength"" and 13 ""Izod impact strength"" (NOTES.md lists all 34). Renaming the Property cell on 21 measurements is an edit and passes scripts/data/diff.mjs; removing the properties.csv row (primaryKey Property, schema/tables/properties.schema.json) is a Removed record and fails .githooks/pre-commit:11 and .github/workflows/verify.yml:35 (--fail-on-removed). Keeping the row leaves an empty property in db.registry and the drawer. test/registry-ui.test.js:39-42 pins the legacy DETAIL_MECHANICAL list (which contains Izod strength) and would also need updating.",node scripts/data/diff.mjs HEAD --fail-on-removed
D-01,D,defect,medium,Estimate model averages as-printed and annealed HDT of one grade as repeats,fixed,c50a00e,,"build/src/estimates.js rawObservations groups by material|formulation|kind and kindOf() never reads postProcessing. dist/db.json meta.estimateModel.conflicts: M068 'HDT 0.45' [V001931 81.6, V001933 133.7]; M019 'HDT 0.45' [V000350 75.5, V000353 114.7] and 'HDT 1.8 amorphous' [V000349 59.7, V000352 84]; M074 'HDT 0.45' [V002071 236.3, V002072 248.9] and 'HDT 1.8 semi-filled' [V001392 125.8, V002073 219.6]. Sources re-read (hash-ok): R-FIBERON-PETGF15-TDS p1 'ISO 75 0.45MPa 133.7°C (annealed)' / 'ISO 75 0.45MPa 81.6 (as printed)'; S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1 p3 'ISO 75 0.45MPa 75.5°C (as printed)' / '114.7°C (annealed)'; S-FIBER-PPSGF-TDS-2 p1 '*The HDT test specimens were annealed by 130°C. If the annealing temperature is increased to 230°C, the HDT (0.45MPa/1.8MPa) is increased to 248.9°C/219.6°C.' All six groups are caught by the conflict check (noise x25), so the formulation's own HDT evidence is effectively discarded rather than modelled. Also M019 (annealed PLA-GF) is classed matrix 'amorphous', whose 1.8->0.45 conversion (offset 5.2) does not fit an annealed semicrystalline PLA (30.7 °C gap in source).","node -e ""const d=require('./dist/db.json');console.log(d.meta.estimateModel.conflicts.filter(c=>['M019','M068','M074'].includes(c.materialId)))"""
D-02,D,defect,low,HT-PLA-GF as-printed HDT rows carry Post-processing 'Not published',fixed,c50a00e,m19,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1 p3: 'Heat deflection temperature ISO 75 1.8MPa 59.7°C (as printed)' and 'ISO 75 0.45MPa 75.5°C (as printed)'. V000349 and V000350 record Post-processing 'Not published' while their annealed twins V000352/V000353 record 'Annealed (per TDS annealed block)'. V000350 is M019's hdt045 headline.,"grep -E '^V00035[0-3],' data/tables/measurements.csv"
D-03,D,note,low,Post-processing of Bambu HDT rows is coded inconsistently,fixed,6cc6074,m20,"24+ Bambu HDT rows put 'All the specimens were annealed and dried at 55/65/75/80 °C ...' into Post-processing, but V000108/V000109 (B-pla-tough-upgrade-TDS), V000128/V000129 (B-pla-translucent-TDS), V000229/V000230 (B-pla-sparkle-TDS), V000703/V000704 (B-pc-fr-TDS), V000948/V000949 (B-pa6-gf-TDS), V001269/V001270 (B-pet-cf-TDS) carry the same sentence only in 'Specimen / print parameters' with Post-processing 'Not published'. I-PPSU-TDS p2 prints 'ASTM D648 ... Unannealed, 3.18' but V001674 has Post-processing 'Not published'. Harmless today (the build ignores the column) but it would mis-key any post-processing state added for D-01. These Bambu 'annealed and dried at 50-80 °C' treatments are drying/conditioning below or near Tg, not a crystallising anneal.",node over data/tables/measurements.csv: Property=HDT and Post-processing='Not published' and /anneal/i in Specimen / print parameters
D-04,D,defect,low,"Izod rows: standard, notch, direction and locator not carried over from the source",fixed,6cc6074,m20,"I-TPU-TDS p1 ""19.1kJ/m2 Izod Impact Strength, notched (at 23 C) ASTM D256"" -> V000762 Standard / load Not published. X-MAXG-PCTG-TDS-v1-0 p1 ""Izod Impact Stregth ISO 180/A kJ/M2 8"" -> V001529 Notch Not published (ISO 180/A is the type-A notched specimen). R-FLASHFORGE-ASA-GF10-TDS p1 ""Izod Impact Strength (X-Y) 6.3~6.9"" -> V002207 Direction Not applicable, while V001994 from the same X-Y block is XY; V002203/V002204 (Bending, X-Y) also Not applicable. S-PEBA-PEBA90A-TDS-en: ""IZOD Impact Strength (XY-axis) GB/T 1843 NB"" is on page 2; V002167 Locator says p. 1. Values themselves are all correct.","grep -E ""^V(000762|001529|002207|002203|002204|002167),"" data/tables/measurements.csv"
D-05,D,defect,low,iSANMATE PLA Glass Fiber tensile strength never transcribed,fixed,6cc6074,m21,"I-PLA-Glass-Fiber-Technical-Data-Sheet (hash-ok) p1: ""Tensile Streng MPa ISO 46-56"" (and ""Melt Flow Index (220 ℃, 10Kg) g/10min ASTM D-1238 4-10""). G019-02 holds five rows (V000377-V000381: density, elongation, flexural strength and modulus, water absorption) and no tensile row; no note explains the omission. The earlier audit:sources pass missed it because 46 and 56 match numbers elsewhere. This is the only cached source that prints a tensile value and has no tensile row.",grep -n I-PLA-Glass-Fiber data/tables/measurements.csv; text of .cache/sources/I-PLA-Glass-Fiber-Technical-Data-Sheet.pdf p1
D-06,D,policy,medium,Izod strength and Izod impact strength are one test with mixed units and notch states,fixed,fd58bb3,m22,"34 rows re-read or checked (open-items.md section 2): all ISO 180 / GB/T 1843 (kJ/m²) or ASTM D256 (J/m); I-TPU-TDS reports D256 in kJ/m². Both properties are registered with units ""kJ/m²; J/m"". Numeric J/m rows: V001486, V001673, V001729-V001734, V002084, V001963; numeric unnotched rows V001732-34, V001859-61; notch not stated V001529, V001911-12, V002207-08. Only validate.js IMPACT-UNITS (a warning) keeps them apart.","grep -i izod data/tables/properties.csv; grep -c "",Izod"" data/tables/measurements.csv"
D-07,D,defect,low,Kimya PEBA-S: live copy found; no hash was ever recorded; printed XY specimens recorded as direction not published,partly fixed,6cc6074,"m21: live URL and hash; direction kept unstated (processing setting, ISO 37 dumbbells)","sources.csv R-KIMYA-PEBA-S-TDS SHA256 ""Not recorded"", Access status ""Indexed content retrieved; direct PDF blocked by site""; URL (samaro.fr/app/uploads/2026/04/...EN-1.pdf) HTTP 404. Live: https://www.samaro.fr/app/uploads/2026/09/ba38ba38d87e28552202938c4c1cc670d8ef6fea3287_Kimya_PEBA_S_3D_Filament_EN.pdf, HTTP 200, SHA-256 66c7b5b1e19bf57ba52811611ef420b1d4d409ad9e043b389b164e45da1c9ce3, p1 ""Dernière mise à jour : 2025-12-22"" (the recorded revision). All 13 values V001887-V001899 match (e.g. ""Tensile Strength 32.8 MPa (4.76 ksi) ISO 37/2/500"", ""Melt flow index (MFI) 13.6 g/10 min ISO 1133-1(@190°C-2.16kg)""). Sheet prints ""PROCESSING Printing Direction XY Printing Speed 44 mm/s""; the 2022 Armor edition (3dee.at, revised 16/06/2022) prints ""PRINTING DIRECTION XY ... PRINTED SPECIMENS PROPERTIES"". Rows record Direction Not published and Specimen type Not published. The transfer REPORT open item 5 says the recorded hash is the only copy; there is no recorded hash.",curl -sI <recorded URL> (404); curl -sL <live URL> | shasum -a 256
D-08,D,defect,low,Re-read batch 1: 14 mechanical rows need a direction correction; PolyMide water-absorption rows borrow the mechanical preparation note,fixed,6cc6074,m20,"All values in batch 1 match their sources (rereads.csv). Direction: R-FLASHFORGE-ASA-GF10-TDS ""(X-Y)"" -> V002203, V002204, V002207 should be XY; I-CF-ABS-TDS (V002170-73), I-PETG-TDS (V002182-83), I-PPSU-TDS (V002190-91), I-ASA-Glass-Fiber-Technical-Data-Sheet (V002219-21) print no direction -> Not published; V002078 (Spectrum PA6, no direction) -> Not published. Not applicable is defensible for V002085 (""*injection moulding"") and the ASTM D882 film rows V002179-81. Moisture: S-POLYCN-PolyMide-CoPA-TDS-V5-2 p2 ""Equilibrium water absorption (%)= 2.82 %"" while ""All specimens were annealed at 80˚C for 30min and dried for 48h prior to testing"" is printed on p4 under the mechanical table; same layout in the PA6-GF (p4 line 50) and PA12-CF (p4 line 52) sheets. So V002155/V002156/V002159 Post-processing is misattributed, and C-15's proposed ""Dried before testing"" would be wrong for an equilibrium absorption. V000894/V000920/V002078 ""Dry (source row); table heading 50% RH"" is right: ""Mechanical Properties at 23°C / 50% rh ... (dry, at 50 mm/min)"". V002055: Izod name with ISO 179, test cannot be settled (source error). V001700 is a strand test (""Tensile Yield Strength for Filament [MPa] 57 ± 1""); V001683, V001310, V001550 are correct as published.",rereads.csv rows tagged Batch 1
D-09,D,note,low,Uncertified screening classes: HDT this-material is 2 cases short; semicrystalline brackets govern no material today,open,,Certification needs more measured cases; candidate sources listed in sources/open-items.md,"dist/db.json meta.estimateModel: tensileStrengthXY this-material held 10 (0/0 misses), hdt045 this-material 18 (1/1), bracketScreening semi-filled 12 (2 high, pHigh 0.035), semi-unfilled 3, elastomer 1; reproduced independently with kindOf. Only M004 PLA Lite (amorphous, certified) has an unstated-load hdt045 headline. Public TDS found for second grades of M027 ABS, M031 ASA, M035 PC, M036 PC FR, M067 PET-CF, M024 PETG-CF, M048 PAHT-CF (e.g. PolyLite_ABS_TDS_V5.3.pdf p3 ""Heat deflection temperature ISO 75 0.45MPa 99.6 °C""). New semi-filled pairs from Fiberon PET-CF17 (""1.8MPa 105 °C"", ""0.45MPa 147.5 °C"") and Ultrafuse PAHT CF15 (""HDT at 0.45 MPa (dry) 145 °C"", ""1.8 MPa (dry) 92 °C"") exceed the current +39 °C bracket top, so the semi-filled class will likely widen, not certify. Elastomer HDT pairs are not realistically obtainable.","node -e ""const d=require('./dist/db.json');for(const[k,p]of Object.entries(d.meta.estimateModel.properties))console.log(k,p.screening);console.log(d.meta.estimateModel.bracketScreening)"""
D-10,D,policy,medium,"PP headline and facet describe HyperLite PP, a lightweight-additive product, as unfilled polypropylene",fixed,2044c94,m25: PP Lightweight,"X-Hyperlite-PP-TDS-v1 p1 ""Density ISO 1183 g/cc 0.81"", ""Tensile Modulus ISO 527 MPa 1650"", ""Tensile Elongation, Break ISO 527 % 13""; R-TRINITY3DS-HYPERLITE-PP ""a specialty additive which enables ultra low density"", ""0.75g/cc"". I-PP-TDS p1 ""Density ... O.89"", ""Elongation At Break % ISO527 460"", ""Flexural Modulus MPa ISO178 390"". M082 PP headlines (density 810, modulus 1.65 GPa, elongation 13 %, HDT 94 °C) all cite G082-01; compiled facet reinforcement = unfilled; G082-01 Composition says ""A lightweight variant, not unfilled PP"". PLA Aero/ASA Aero are separate materials with Modifier Foaming. Splitting would make iSANMATE PP (HDT 92 °C, load not printed) the PP headline, putting the uncertified semi-unfilled bracket in charge.","node -e ""const d=require('./dist/db.json');const m=d.materials.find(x=>x.id==='M082');console.log(m.facets.reinforcement,m.headline.density.value,m.headline.elongationXY.value)"""
